id,skill,epic,group,priority,phase,status,dependencies,description,acceptance_hint
ELMOS-ORCH-013,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Planning and dependency control,P0,G0-G9,BACKLOG,,"Reserve compute, model, storage, network, and review budgets.","Implement and verify: Reserve compute, model, storage, network, and review budgets."
ELMOS-ORCH-014,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,Create or update the durable implementation-plan YAML before editing.,Implement and verify: Create or update the durable implementation-plan YAML before editing.
ELMOS-ORCH-015,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,"Implement production code, schema, tests, telemetry, audit, documentation, and runbook changes together.","Implement and verify: Implement production code, schema, tests, telemetry, audit, documentation, and runbook changes together."
ELMOS-ORCH-016,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,"Classify failures as environment, dependency, code, policy, security, data, capacity, provider, or unknown.","Implement and verify: Classify failures as environment, dependency, code, policy, security, data, capacity, provider, or unknown."
ELMOS-ORCH-017,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,Place irreconcilable results in BLOCKED or MANUAL_RECOVERY rather than hiding partial failure.,Implement and verify: Place irreconcilable results in BLOCKED or MANUAL_RECOVERY rather than hiding partial failure.
ELMOS-ORCH-018,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,Checkpoint after each successful validation boundary and store large outputs by digest.,Implement and verify: Checkpoint after each successful validation boundary and store large outputs by digest.
ELMOS-ORCH-019,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,"Update status, commit, commands, measured duration, cost, evidence digest, and residual risk.","Implement and verify: Update status, commit, commands, measured duration, cost, evidence digest, and residual risk."
ELMOS-ORCH-020,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,Report the next dependency-resolved task and why it is next.,Implement and verify: Report the next dependency-resolved task and why it is next.
ELMOS-ORCH-021,elmos-infrastructure-program-orchestrator,eLMOS Infrastructure Program Orchestrator,Execution and handoff,P0,G0-G9,BACKLOG,,"Emit CERTIFIED, LIMITED, EXPERIMENTAL, or BLOCKED release status.","Implement and verify: Emit CERTIFIED, LIMITED, EXPERIMENTAL, or BLOCKED release status."
ELMOS-ARCH-001,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture inventory,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Inventory each module, entry point, dependency, persistent state, network endpoint, and deployment mode.","Implement and verify: Inventory each module, entry point, dependency, persistent state, network endpoint, and deployment mode."
ELMOS-ARCH-002,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture inventory,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Draw control, workflow, execution, artifact, model, policy, evidence, data, and observability planes.","Implement and verify: Draw control, workflow, execution, artifact, model, policy, evidence, data, and observability planes."
ELMOS-ARCH-003,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture inventory,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Assign one authoritative owner for every core state domain.,Implement and verify: Assign one authoritative owner for every core state domain.
ELMOS-ARCH-004,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture inventory,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Find process-local state that would be lost on restart and assign a durable store.,Implement and verify: Find process-local state that would be lost on restart and assign a durable store.
ELMOS-ARCH-005,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture inventory,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Mark modules that remain inside the modular monolith and justified independent workers.,Implement and verify: Mark modules that remain inside the modular monolith and justified independent workers.
ELMOS-ARCH-006,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture decisions,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Write an ADR for Temporal versus a custom workflow engine.,Implement and verify: Write an ADR for Temporal versus a custom workflow engine.
ELMOS-ARCH-007,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture decisions,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Write an ADR for content-addressed storage versus project copying.,Implement and verify: Write an ADR for content-addressed storage versus project copying.
ELMOS-ARCH-008,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture decisions,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Write an ADR for private-runner source residency.,Implement and verify: Write an ADR for private-runner source residency.
ELMOS-ARCH-009,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture decisions,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Write an ADR for deterministic rules before LLM repair.,Implement and verify: Write an ADR for deterministic rules before LLM repair.
ELMOS-ARCH-010,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture decisions,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Write an ADR for event-plane responsibilities and why it does not replace workflows.,Implement and verify: Write an ADR for event-plane responsibilities and why it does not replace workflows.
ELMOS-ARCH-011,elmos-architecture-contract-governance,Architecture and Contract Governance,Architecture decisions,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Define ADR states proposed, accepted, superseded, rejected, and deprecated.","Implement and verify: Define ADR states proposed, accepted, superseded, rejected, and deprecated."
ELMOS-ARCH-012,elmos-architecture-contract-governance,Architecture and Contract Governance,Identifiers and states,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Standardize tenant, user, repository, snapshot, project, workflow, task, attempt, runner, artifact, evidence, approval, and policy identifiers.","Implement and verify: Standardize tenant, user, repository, snapshot, project, workflow, task, attempt, runner, artifact, evidence, approval, and policy identifiers."
ELMOS-ARCH-013,elmos-architecture-contract-governance,Architecture and Contract Governance,Identifiers and states,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Replace free-form status strings with versioned enums.,Implement and verify: Replace free-form status strings with versioned enums.
ELMOS-ARCH-014,elmos-architecture-contract-governance,Architecture and Contract Governance,Identifiers and states,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Define allowed state transitions and terminal states.,Implement and verify: Define allowed state transitions and terminal states.
ELMOS-ARCH-015,elmos-architecture-contract-governance,Architecture and Contract Governance,Identifiers and states,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Define idempotency key, receipt, transition ID, fencing token, correlation ID, trace ID, and audit ID formats.","Implement and verify: Define idempotency key, receipt, transition ID, fencing token, correlation ID, trace ID, and audit ID formats."
ELMOS-ARCH-016,elmos-architecture-contract-governance,Architecture and Contract Governance,Identifiers and states,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Add database uniqueness and transition constraints.,Implement and verify: Add database uniqueness and transition constraints.
ELMOS-ARCH-017,elmos-architecture-contract-governance,Architecture and Contract Governance,API and schema governance,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Version external APIs under /api/v1 and define deprecation policy.,Implement and verify: Version external APIs under /api/v1 and define deprecation policy.
ELMOS-ARCH-018,elmos-architecture-contract-governance,Architecture and Contract Governance,API and schema governance,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Define a uniform error envelope with code, message, retryable, correlation_id, and details.","Implement and verify: Define a uniform error envelope with code, message, retryable, correlation_id, and details."
ELMOS-ARCH-019,elmos-architecture-contract-governance,Architecture and Contract Governance,API and schema governance,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Define pagination, filtering, sorting, ETag, conditional update, and idempotency semantics.","Implement and verify: Define pagination, filtering, sorting, ETag, conditional update, and idempotency semantics."
ELMOS-ARCH-020,elmos-architecture-contract-governance,Architecture and Contract Governance,API and schema governance,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Add schema_version to every cross-module DTO and event.,Implement and verify: Add schema_version to every cross-module DTO and event.
ELMOS-ARCH-021,elmos-architecture-contract-governance,Architecture and Contract Governance,API and schema governance,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Generate clients from OpenAPI and bindings from Protobuf.,Implement and verify: Generate clients from OpenAPI and bindings from Protobuf.
ELMOS-ARCH-022,elmos-architecture-contract-governance,Architecture and Contract Governance,API and schema governance,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,"Reject removed required fields, reused Protobuf numbers, and incompatible enum changes in CI.","Implement and verify: Reject removed required fields, reused Protobuf numbers, and incompatible enum changes in CI."
ELMOS-ARCH-023,elmos-architecture-contract-governance,Architecture and Contract Governance,API and schema governance,P0,G0,BACKLOG,elmos-infrastructure-program-orchestrator,Adopt canonical repository directories and ownership rules.,Implement and verify: Adopt canonical repository directories and ownership rules.
ELMOS-SEC-001,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",OIDC and sessions,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Add an OIDC resource server and validate issuer, audience, expiration, signature algorithm, nonce where applicable, and token type.","Implement and verify: Add an OIDC resource server and validate issuer, audience, expiration, signature algorithm, nonce where applicable, and token type."
ELMOS-SEC-002,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",OIDC and sessions,P0,G1,BACKLOG,elmos-architecture-contract-governance,Resolve user only from validated token or server-side session.,Implement and verify: Resolve user only from validated token or server-side session.
ELMOS-SEC-003,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",OIDC and sessions,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Resolve active tenant from validated membership, never arbitrary headers.","Implement and verify: Resolve active tenant from validated membership, never arbitrary headers."
ELMOS-SEC-004,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",OIDC and sessions,P0,G1,BACKLOG,elmos-architecture-contract-governance,Support multi-tenant membership and authorized tenant selection.,Implement and verify: Support multi-tenant membership and authorized tenant selection.
ELMOS-SEC-005,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",OIDC and sessions,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Check account disablement, membership revocation, and token/session revocation.","Implement and verify: Check account disablement, membership revocation, and token/session revocation."
ELMOS-SEC-006,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",OIDC and sessions,P0,G1,BACKLOG,elmos-architecture-contract-governance,Proxy browser calls through a secure session layer and remove fixed tenant injection.,Implement and verify: Proxy browser calls through a secure session layer and remove fixed tenant injection.
ELMOS-SEC-007,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",OIDC and sessions,P0,G1,BACKLOG,elmos-architecture-contract-governance,Implement a secure CLI login flow with short-lived credentials.,Implement and verify: Implement a secure CLI login flow with short-lived credentials.
ELMOS-SEC-008,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Create tenant, user_account, membership, role, permission, role_permission, and resource_grant tables.","Implement and verify: Create tenant, user_account, membership, role, permission, role_permission, and resource_grant tables."
ELMOS-SEC-009,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Define owner, tenant admin, project admin, migration engineer, reviewer, approver, runner operator, auditor, billing admin, and read-only roles.","Implement and verify: Define owner, tenant admin, project admin, migration engineer, reviewer, approver, runner operator, auditor, billing admin, and read-only roles."
ELMOS-SEC-010,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Authorize repository view, sync, clone, transform, and delivery separately.","Implement and verify: Authorize repository view, sync, clone, transform, and delivery separately."
ELMOS-SEC-011,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Authorize project create, start, pause, resume, cancel, approve, archive, and delete separately.","Implement and verify: Authorize project create, start, pause, resume, cancel, approve, archive, and delete separately."
ELMOS-SEC-012,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Authorize runner enrollment, drain, disable, certificate rotation, and logs separately.","Implement and verify: Authorize runner enrollment, drain, disable, certificate rotation, and logs separately."
ELMOS-SEC-013,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Authorize artifact read, export, retention override, and delete separately.","Implement and verify: Authorize artifact read, export, retention override, and delete separately."
ELMOS-SEC-014,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Authorize evidence, certification, policy exception, and approval separately.","Implement and verify: Authorize evidence, certification, policy exception, and approval separately."
ELMOS-SEC-015,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Perform authorization in the service layer, not only UI.","Implement and verify: Perform authorization in the service layer, not only UI."
ELMOS-SEC-016,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",RBAC and resource authorization,P0,G1,BACKLOG,elmos-architecture-contract-governance,Add IDOR and cross-resource tests.,Implement and verify: Add IDOR and cross-resource tests.
ELMOS-SEC-017,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,Add tenant_id to every tenant-owned table and backfill safely.,Implement and verify: Add tenant_id to every tenant-owned table and backfill safely.
ELMOS-SEC-018,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,Enable and force RLS on every tenant-owned table.,Implement and verify: Enable and force RLS on every tenant-owned table.
ELMOS-SEC-019,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,Create a migration role used only by schema tooling.,Implement and verify: Create a migration role used only by schema tooling.
ELMOS-SEC-020,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Create a non-owner, non-superuser runtime role without BYPASSRLS.","Implement and verify: Create a non-owner, non-superuser runtime role without BYPASSRLS."
ELMOS-SEC-021,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,Set validated tenant context at transaction start and clear it before returning pooled connections.,Implement and verify: Set validated tenant context at transaction start and clear it before returning pooled connections.
ELMOS-SEC-022,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,Test that tenant variables cannot leak across pooled requests.,Implement and verify: Test that tenant variables cannot leak across pooled requests.
ELMOS-SEC-023,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Fail startup if runtime user is owner, superuser, or BYPASSRLS.","Implement and verify: Fail startup if runtime user is owner, superuser, or BYPASSRLS."
ELMOS-SEC-024,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",PostgreSQL RLS,P0,G1,BACKLOG,elmos-architecture-contract-governance,Run cross-tenant attacks through application SQL and direct runtime-role SQL.,Implement and verify: Run cross-tenant attacks through application SQL and direct runtime-role SQL.
ELMOS-SEC-025,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Make enrollment tokens single-use, short-lived, scope-limited, and auditable.","Implement and verify: Make enrollment tokens single-use, short-lived, scope-limited, and auditable."
ELMOS-SEC-026,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,Issue a unique runner identity after enrollment.,Implement and verify: Issue a unique runner identity after enrollment.
ELMOS-SEC-027,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,Authenticate runners with mTLS or equivalent workload identity.,Implement and verify: Authenticate runners with mTLS or equivalent workload identity.
ELMOS-SEC-028,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,Rotate runner certificates before expiry.,Implement and verify: Rotate runner certificates before expiry.
ELMOS-SEC-029,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,Support immediate revocation and deny-list propagation.,Implement and verify: Support immediate revocation and deny-list propagation.
ELMOS-SEC-030,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,Authenticate internal services with mTLS and distinct audiences.,Implement and verify: Authenticate internal services with mTLS and distinct audiences.
ELMOS-SEC-031,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,Ensure runner credentials cannot call user APIs.,Implement and verify: Ensure runner credentials cannot call user APIs.
ELMOS-SEC-032,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Runner and service identity,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Bind runner identity to tenant, region, capability, and permitted task scopes.","Implement and verify: Bind runner identity to tenant, region, capability, and permitted task scopes."
ELMOS-SEC-033,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,Define SecretReference and remove plaintext credentials from task/workflow payloads.,Implement and verify: Define SecretReference and remove plaintext credentials from task/workflow payloads.
ELMOS-SEC-034,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Implement Vault, cloud secret manager, and development-only local adapters.","Implement and verify: Implement Vault, cloud secret manager, and development-only local adapters."
ELMOS-SEC-035,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Lease GitHub, Maven, Gradle, npm, NuGet, PyPI, registry, database, and cloud credentials only at execution time.","Implement and verify: Lease GitHub, Maven, Gradle, npm, NuGet, PyPI, registry, database, and cloud credentials only at execution time."
ELMOS-SEC-036,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Issue least-privilege credentials separately for clone, build, publish, and delivery.","Implement and verify: Issue least-privilege credentials separately for clone, build, publish, and delivery."
ELMOS-SEC-037,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Revoke secrets after completion, cancellation, timeout, or lease loss.","Implement and verify: Revoke secrets after completion, cancellation, timeout, or lease loss."
ELMOS-SEC-038,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Redact secrets from logs, errors, traces, command lines, environment dumps, artifacts, and Evidence Packs.","Implement and verify: Redact secrets from logs, errors, traces, command lines, environment dumps, artifacts, and Evidence Packs."
ELMOS-SEC-039,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,Audit secret-reference access without values.,Implement and verify: Audit secret-reference access without values.
ELMOS-SEC-040,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",Secret broker,P0,G1,BACKLOG,elmos-architecture-contract-governance,Fail non-development startup on empty/default/placeholder secrets.,Implement and verify: Fail non-development startup on empty/default/placeholder secrets.
ELMOS-SEC-041,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Set request-body limits for JSON, upload, webhook, and log endpoints.","Implement and verify: Set request-body limits for JSON, upload, webhook, and log endpoints."
ELMOS-SEC-042,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Apply user, tenant, IP, route, and expensive-operation rate limits.","Implement and verify: Apply user, tenant, IP, route, and expensive-operation rate limits."
ELMOS-SEC-043,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Set request, upstream, idle, and streaming timeouts.","Implement and verify: Set request, upstream, idle, and streaming timeouts."
ELMOS-SEC-044,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Configure CORS, Origin, CSRF, security headers, and cookie policy.","Implement and verify: Configure CORS, Origin, CSRF, security headers, and cookie policy."
ELMOS-SEC-045,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,Move management endpoints to an internal port/network.,Implement and verify: Move management endpoints to an internal port/network.
ELMOS-SEC-046,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,"Validate webhook signature, delivery ID, timestamp, type, and replay window.","Implement and verify: Validate webhook signature, delivery ID, timestamp, type, and replay window."
ELMOS-SEC-047,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,Encrypt or minimize raw webhook envelopes and apply retention.,Implement and verify: Encrypt or minimize raw webhook envelopes and apply retention.
ELMOS-SEC-048,elmos-identity-tenant-security,"Identity, Tenant Isolation, Authorization, and Secrets",API and webhook hardening,P0,G1,BACKLOG,elmos-architecture-contract-governance,Add privacy-safe structured request logs and correlation IDs.,Implement and verify: Add privacy-safe structured request logs and correlation IDs.
ELMOS-WF-001,elmos-temporal-task-reliability,"Temporal Workflow, Task Lease, Cancellation, and Recovery",State machines,P0,G2,BACKLOG,elmos-architecture-contract-governance;elmos-identity-tenant-security,"Define truthful project states including CANCEL_REQUESTED, CANCELLING, RECONCILING, UNKNOWN_RESULT, and MANUAL_RECOVERY.","Implement and verify: Define truthful project states including CANCEL_REQUESTED, CANCELLING, RECONCILING, UNKNOWN_RESULT, and MANUAL_RECOVERY."
ELMOS-WF-002,elmos-temporal-task-reliability,"Temporal Workflow, Task Lease, Cancellation, and Recovery",State machines,P0,G2,BACKLOG,elmos-architecture-contract-governance;elmos-identity-tenant-security,"Define task states including lease, run, cancel, completing, expired, unknown, and quarantine.","Implement and verify: Define task states including lease, run, cancel, completing, expired, unknown, and quarantine."
ELMOS-WF-003,elmos-temporal-task-reliability,"Temporal Workflow, Task Lease, Cancellation, and Recovery",State machines,P0,G2,BACKLOG,elmos-architecture-contract-governance;elmos-identity-tenant-security,Create an allowed-transition table and reject illegal transitions.,Implement and verify: Create an allowed-transition table and reject illegal transitions.
ELMOS-WF-004,elmos-temporal-task-reliability,"Temporal Workflow, Task Lease, Cancellation, and Recovery",State machines,P0,G2,BACKLOG,elmos-architecture-contract-governance;elmos-identity-tenant-security,Generate unique transition IDs and enforce uniqueness.,Implement and verify: Generate unique transition IDs and enforce uniqueness.
ELMOS-WF-005,elmos-temporal-task-reliability,"Temporal Workflow, Task Lease, Cancellation, and Recovery",State machines,P0,G2,BACKLOG,elmos-architecture-contract-governance;elmos-identity-tenant-security,"Write transition, outbox, and audit atomically.","Implement and verify: Write transition, outbox, and audit atomically."
