requirement_id,priority,skill,batch,statement,status,source_files,symbols,tests,runtime_evidence,commit,owner,notes
EB-05-008,P1,elmos-usage-metering,B14,聚合数据必须可追溯回全部明细事件。,MISSING,,,,,,,
EB-05-009,P1,elmos-usage-metering,B14,用量管道必须支持背压、重试、死信和重放。,MISSING,,,,,,,
EB-05-010,P1,elmos-usage-metering,B14,必须与供应商账单和任务运行证据周期对账。,MISSING,,,,,,,
EB-06-001,P0,elmos-task-cost-estimation,B15,执行前必须估算模型、缓存、沙箱、测试、存储、网络和工具资源。,MISSING,,,,,,,
EB-06-002,P0,elmos-task-cost-estimation,B15,输出 P50/P80/P90 成本区间而非只有单点报价。,MISSING,,,,,,,
EB-06-003,P0,elmos-task-cost-estimation,B15,输出 Elmos 自主执行机器墙钟 ETA。,MISSING,,,,,,,
EB-06-004,P0,elmos-task-cost-estimation,B16,人工开发时间必须作为独立比较字段且不得混入系统 ETA。,MISSING,,,,,,,
EB-06-005,P0,elmos-task-cost-estimation,B16,支持 Economy、Balanced、Best Quality 三种模型策略比较。,MISSING,,,,,,,
EB-06-006,P0,elmos-task-cost-estimation,B16,估算必须包含风险因素、置信度和主要不确定性来源。,MISSING,,,,,,,
EB-06-007,P1,elmos-task-cost-estimation,B17,低样本和模型漂移时必须回退到保守规则模型。,MISSING,,,,,,,
EB-06-008,P1,elmos-task-cost-estimation,B17,历史任务特征使用必须满足租户隔离和匿名化策略。,MISSING,,,,,,,
EB-06-009,P1,elmos-task-cost-estimation,B17,任务结束后必须记录预测与实际偏差供校准。,MISSING,,,,,,,
EB-06-010,P1,elmos-task-cost-estimation,B17,估算版本和输入快照必须可复现且不可回写。,MISSING,,,,,,,
EB-07-001,P0,elmos-quote-budget-guard,B18,报价必须显示费用区间、最大预算、机器墙钟 ETA、人工时间对比和置信度。,MISSING,,,,,,,
EB-07-002,P0,elmos-quote-budget-guard,B18,报价必须绑定价格簿、估算、模型策略和范围版本。,MISSING,,,,,,,
EB-07-003,P0,elmos-quote-budget-guard,B18,任务启动前必须原子预留最大预算或验证企业授信。,MISSING,,,,,,,
EB-07-004,P0,elmos-quote-budget-guard,B19,支持 50%、80%、95% 等可配置预算提醒。,MISSING,,,,,,,
EB-07-005,P0,elmos-quote-budget-guard,B19,达到硬上限前必须停止新的可计费执行。,MISSING,,,,,,,
EB-07-006,P0,elmos-quote-budget-guard,B19,支持追加预算、模型降级、范围缩小、仅修阻断项和停止导出。,MISSING,,,,,,,
EB-07-007,P1,elmos-quote-budget-guard,B20,完成后按实际用量捕获并释放未使用预留。,MISSING,,,,,,,
EB-07-008,P1,elmos-quote-budget-guard,B20,失败和取消结算必须使用责任与成果规则并可审计。,MISSING,,,,,,,
EB-07-009,P1,elmos-quote-budget-guard,B20,报价过期或范围改变后必须重新报价。,MISSING,,,,,,,
EB-07-010,P1,elmos-quote-budget-guard,B20,断线或服务重启后预算状态和任务状态必须一致恢复。,MISSING,,,,,,,
EB-08-001,P0,elmos-project-pricing-contracts,B21,支持 discovery、capped-price 和 fixed-price 三类项目合同。,MISSING,,,,,,,
EB-08-002,P0,elmos-project-pricing-contracts,B21,项目必须冻结源仓库、需求、范围、环境和验收基线。,MISSING,,,,,,,
EB-08-003,P0,elmos-project-pricing-contracts,B21,固定价报价必须基于 P80/P90 成本、毛利、验收、支持和风险。,MISSING,,,,,,,
EB-08-004,P0,elmos-project-pricing-contracts,B22,合同必须声明包含修改轮数、排除项和第三方责任边界。,MISSING,,,,,,,
EB-08-005,P0,elmos-project-pricing-contracts,B22,范围变化必须产生 change order 并在批准前隔离执行。,MISSING,,,,,,,
EB-08-006,P0,elmos-project-pricing-contracts,B22,里程碑验收必须关联自动测试和审批证据。,MISSING,,,,,,,
EB-08-007,P1,elmos-project-pricing-contracts,B23,封顶项目实际结算不得超过合同 cap。,MISSING,,,,,,,
EB-08-008,P1,elmos-project-pricing-contracts,B23,未达固定价验收必须进入明确修复、退款、介入或终止路径。,MISSING,,,,,,,
EB-08-009,P1,elmos-project-pricing-contracts,B23,项目必须记录实际成本、确认收入和毛利复盘。,MISSING,,,,,,,
EB-08-010,P1,elmos-project-pricing-contracts,B23,标准化项目 SKU 必须具备机器可验证输入与输出限制。,MISSING,,,,,,,
EB-09-001,P0,elmos-subscription-invoicing,B24,支持月付、年付、试用、升级、降级、暂停、取消和重新激活。,MISSING,,,,,,,
EB-09-002,P0,elmos-subscription-invoicing,B24,发票行必须支持套餐、席位、用量、项目、折扣、税和调整。,MISSING,,,,,,,
EB-09-003,P0,elmos-subscription-invoicing,B24,价格、税务和合同输入必须在发票上形成不可变快照。,MISSING,,,,,,,
EB-09-004,P0,elmos-subscription-invoicing,B25,draft 发票可重算，finalized 发票不可原地修改。,MISSING,,,,,,,
EB-09-005,P0,elmos-subscription-invoicing,B25,修正必须使用 credit note、void 或 replacement invoice。,MISSING,,,,,,,
EB-09-006,P0,elmos-subscription-invoicing,B25,续费扣款和包含额度发放必须分别幂等且合计只发生一次。,MISSING,,,,,,,
EB-09-007,P1,elmos-subscription-invoicing,B26,支持企业后付账期和信用限额。,MISSING,,,,,,,
EB-09-008,P1,elmos-subscription-invoicing,B26,失败付款必须进入 dunning 流程。,MISSING,,,,,,,
EB-09-009,P1,elmos-subscription-invoicing,B26,账期边界必须正确处理时区、月末和闰年。,MISSING,,,,,,,
EB-09-010,P1,elmos-subscription-invoicing,B26,发票必须输出应收、递延和收入确认事件。,MISSING,,,,,,,
EB-10-001,P0,elmos-payments-reconciliation,B27,支付层必须通过统一适配器支持多渠道而不污染核心域。,MISSING,,,,,,,
EB-10-002,P0,elmos-payments-reconciliation,B27,支付密钥必须位于 secret manager 并可轮换。,MISSING,,,,,,,
EB-10-003,P0,elmos-payments-reconciliation,B27,webhook 必须验证签名、时间窗、环境和事件唯一性。,MISSING,,,,,,,
EB-10-004,P0,elmos-payments-reconciliation,B28,重复、乱序、延迟和缺失 webhook 必须安全处理。,MISSING,,,,,,,
EB-10-005,P0,elmos-payments-reconciliation,B28,支付成功只能产生一次发票结清或钱包入账。,MISSING,,,,,,,
EB-10-006,P0,elmos-payments-reconciliation,B28,支持授权、捕获、部分捕获、取消和结算语义。,MISSING,,,,,,,
EB-10-007,P1,elmos-payments-reconciliation,B29,记录手续费、汇率、净额和到账日期。,MISSING,,,,,,,
EB-10-008,P1,elmos-payments-reconciliation,B29,每日执行 provider、invoice、ledger 和结算对账。,MISSING,,,,,,,
EB-10-009,P1,elmos-payments-reconciliation,B29,不一致必须进入 suspense 账户和可分派工作队列。,MISSING,,,,,,,
EB-10-010,P1,elmos-payments-reconciliation,B29,前端成功页不得作为确认支付的唯一证据。,MISSING,,,,,,,
EB-11-001,P0,elmos-refunds-disputes,B30,退款必须基于平台、用户、第三方、范围和验收等责任分类。,MISSING,,,,,,,
EB-11-002,P0,elmos-refunds-disputes,B30,平台故障造成且用户未获得价值的消耗必须自动免收或退回。,MISSING,,,,,,,
EB-11-003,P0,elmos-refunds-disputes,B30,模型在任务预算内的正常自我修复不得无限追加收费。,MISSING,,,,,,,
EB-11-004,P0,elmos-refunds-disputes,B31,退款必须关联原 quote、用量、账本、支付和成果证据。,MISSING,,,,,,,
EB-11-005,P0,elmos-refunds-disputes,B31,支持全额、部分、额度补偿、credit note 和 chargeback。,MISSING,,,,,,,
EB-11-006,P0,elmos-refunds-disputes,B31,原交易不得删除；退款使用反向交易表达。,MISSING,,,,,,,
EB-11-007,P1,elmos-refunds-disputes,B32,累计退款不得超过原可退款基数。,MISSING,,,,,,,
EB-11-008,P1,elmos-refunds-disputes,B32,支付退款和钱包回退必须具备 saga 补偿。,MISSING,,,,,,,
EB-11-009,P1,elmos-refunds-disputes,B32,大额和人工调整必须双人审批。,MISSING,,,,,,,
EB-11-010,P1,elmos-refunds-disputes,B32,退款、争议和对账状态必须完整审计。,MISSING,,,,,,,
EB-12-001,P0,elmos-enterprise-byok,B33,支持年度平台费、承诺用量、超额、私有部署、支持和 SLA 费用。,MISSING,,,,,,,
EB-12-002,P0,elmos-enterprise-byok,B33,支持 minimum commit、burn-down、true-up 和续约。,MISSING,,,,,,,
EB-12-003,P0,elmos-enterprise-byok,B33,BYOK 只存 secret reference，不存明文密钥。,MISSING,,,,,,,
EB-12-004,P0,elmos-enterprise-byok,B34,BYOK 排除客户自付模型成本但仍计平台与基础设施费用。,MISSING,,,,,,,
EB-12-005,P0,elmos-enterprise-byok,B34,支持企业后付信用限额、PO 和账期。,MISSING,,,,,,,
EB-12-006,P0,elmos-enterprise-byok,B34,支持成本中心、部门预算、审批和内部 chargeback。,MISSING,,,,,,,
EB-12-007,P1,elmos-enterprise-byok,B35,合同覆盖必须版本化并具有确定优先级。,MISSING,,,,,,,
EB-12-008,P1,elmos-enterprise-byok,B35,私有部署必须定义计量可信边界和离线补传。,MISSING,,,,,,,
EB-12-009,P1,elmos-enterprise-byok,B35,SLA 违约必须通过规则化 service credit 处理。,MISSING,,,,,,,
EB-12-010,P1,elmos-enterprise-byok,B35,合同变更不得回写历史结算。,MISSING,,,,,,,
EB-13-001,P0,elmos-cost-margin-analytics,B36,成本和收入分析必须来源于账本、发票、支付和用量事实。,MISSING,,,,,,,
EB-13-002,P0,elmos-cost-margin-analytics,B36,区分 posted、pending、estimated 和 recognized 状态。,MISSING,,,,,,,
EB-13-003,P0,elmos-cost-margin-analytics,B36,共享成本分摊必须版本化且总额守恒。,MISSING,,,,,,,
EB-13-004,P0,elmos-cost-margin-analytics,B37,支持任务、项目、租户、计划、模型、供应商和时间维度毛利。,MISSING,,,,,,,
EB-13-005,P0,elmos-cost-margin-analytics,B37,计算报价 P50/P80/P90 与实际偏差。,MISSING,,,,,,,
EB-13-006,P0,elmos-cost-margin-analytics,B37,衡量缓存、路由、重试、测试和自动修复的成本影响。,MISSING,,,,,,,
EB-13-007,P1,elmos-cost-margin-analytics,B38,所有总额必须声明 as-of、封账和覆盖范围。,MISSING,,,,,,,
EB-13-008,P1,elmos-cost-margin-analytics,B38,亏损、毛利下降、费率漂移和退款异常必须告警。,MISSING,,,,,,,
EB-13-009,P1,elmos-cost-margin-analytics,B38,分析层不得直接修改交易事实。,MISSING,,,,,,,
EB-13-010,P1,elmos-cost-margin-analytics,B38,价格建议必须通过审批后才能进入价格簿。,MISSING,,,,,,,
EB-14-001,P0,elmos-billing-admin-ux,B39,报价卡必须展示费用区间、cap、机器 ETA、人工对比、模式、测试和验收。,MISSING,,,,,,,
EB-14-002,P0,elmos-billing-admin-ux,B39,运行页必须展示已用、预留、预计剩余和预算阈值。,MISSING,,,,,,,
EB-14-003,P0,elmos-billing-admin-ux,B39,支持追加预算、降级、缩小范围、仅修阻断项和停止导出。,MISSING,,,,,,,
EB-14-004,P0,elmos-billing-admin-ux,B40,钱包必须区分付费、赠送、冻结、已用、退款和到期。,MISSING,,,,,,,
EB-14-005,P0,elmos-billing-admin-ux,B40,账单与用量必须可下钻到任务、运行、节点和资源。,MISSING,,,,,,,
EB-14-006,P0,elmos-billing-admin-ux,B40,项目页面必须展示范围基线、里程碑、验收和变更单。,MISSING,,,,,,,
EB-14-007,P1,elmos-billing-admin-ux,B41,团队必须支持成本中心、部门预算和审批。,MISSING,,,,,,,
EB-14-008,P1,elmos-billing-admin-ux,B41,高风险后台动作必须预览、二次确认、审批和审计。,MISSING,,,,,,,
EB-14-009,P1,elmos-billing-admin-ux,B41,所有财务规则必须由后端执行。,MISSING,,,,,,,
EB-14-010,P1,elmos-billing-admin-ux,B41,关键旅程必须满足无障碍、断线恢复和多币种显示要求。,MISSING,,,,,,,
EB-15-001,P0,elmos-security-compliance,B42,所有账单数据访问必须强制租户隔离。,MISSING,,,,,,,
EB-15-002,P0,elmos-security-compliance,B42,高风险动作必须采用最小权限、职责分离和双人审批。,MISSING,,,,,,,
EB-15-003,P0,elmos-security-compliance,B42,支付、BYOK 和供应商密钥必须由 secret manager 托管。,MISSING,,,,,,,
EB-15-004,P0,elmos-security-compliance,B43,敏感数据必须在传输、静态和备份中加密。,MISSING,,,,,,,
EB-15-005,P0,elmos-security-compliance,B43,审计日志必须追加、可验证且覆盖授权决定和财务写入。,MISSING,,,,,,,
EB-15-006,P0,elmos-security-compliance,B43,必须检测充值、退款、并发、账号接管和机器人欺诈。,MISSING,,,,,,,
EB-15-007,P1,elmos-security-compliance,B44,日志、提示词和分析事件必须脱敏。,MISSING,,,,,,,
EB-15-008,P1,elmos-security-compliance,B44,支持隐私访问、导出、删除和合法保留例外。,MISSING,,,,,,,
EB-15-009,P1,elmos-security-compliance,B44,安全策略必须覆盖 API、队列、数据库、缓存、对象存储和分析层。,MISSING,,,,,,,
EB-15-010,P1,elmos-security-compliance,B44,生产发布前必须通过越权、重放、竞态、注入和密钥泄漏红队测试。,MISSING,,,,,,,
EB-16-001,P0,elmos-billing-observability-ops,B45,报价到退款全链路必须共享关联 ID 和可检索 trace。,MISSING,,,,,,,
EB-16-002,P0,elmos-billing-observability-ops,B45,必须监控重复、迟到、预算漂移、负余额、账本不平和对账差异。,MISSING,,,,,,,
EB-16-003,P0,elmos-billing-observability-ops,B45,定义报价、授权、计量、支付、退款和对账 SLO。,MISSING,,,,,,,
EB-16-004,P0,elmos-billing-observability-ops,B46,严重财务不变量必须触发 kill switch 或只读模式。,MISSING,,,,,,,
EB-16-005,P0,elmos-billing-observability-ops,B46,卡住 saga、死信和不一致必须进入可分派工作队列。,MISSING,,,,,,,
EB-16-006,P0,elmos-billing-observability-ops,B46,必须提供安全重放、投影重建和重新对账工具。,MISSING,,,,,,,
EB-16-007,P1,elmos-billing-observability-ops,B47,恢复前后必须验证账本、幂等和对账不变量。,MISSING,,,,,,,
EB-16-008,P1,elmos-billing-observability-ops,B47,账本、合同、发票和审计必须纳入备份与灾备。,MISSING,,,,,,,
EB-16-009,P1,elmos-billing-observability-ops,B47,必须验证 RPO/RTO 并定期演练。,MISSING,,,,,,,
EB-16-010,P1,elmos-billing-observability-ops,B47,重大事故必须生成时间线、财务影响、根因和防复发证据。,MISSING,,,,,,,
EB-17-001,P0,elmos-billing-testing-certification,B48,每条 P0/P1 需求必须关联测试和证据。,MISSING,,,,,,,
EB-17-002,P0,elmos-billing-testing-certification,B48,账本平衡、非负余额、幂等、cap 和退款上限必须使用属性测试。,MISSING,,,,,,,
EB-17-003,P0,elmos-billing-testing-certification,B48,API、事件和迁移必须使用契约测试。,MISSING,,,,,,,
EB-17-004,P0,elmos-billing-testing-certification,B49,必须测试高并发预留、重复事件、迟到用量和崩溃恢复。,MISSING,,,,,,,
EB-17-005,P0,elmos-billing-testing-certification,B49,必须使用支付 sandbox 和结算样本验证。,MISSING,,,,,,,
EB-17-006,P0,elmos-billing-testing-certification,B49,必须执行跨租户、权限、密钥、重放、注入和欺诈测试。,MISSING,,,,,,,
EB-17-007,P1,elmos-billing-testing-certification,B50,旧新系统影子账单差异必须可解释并在阈值内。,MISSING,,,,,,,
EB-17-008,P1,elmos-billing-testing-certification,B50,采用 E1-E5 分级生产认证。,MISSING,,,,,,,
EB-17-009,P1,elmos-billing-testing-certification,B50,P0 缺陷和关键不变量失败必须阻断发布。,MISSING,,,,,,,
EB-17-010,P1,elmos-billing-testing-certification,B50,认证报告必须机器可读、可复核并关联提交和环境。,MISSING,,,,,,,
EB-18-001,P0,elmos-rollout-migration,B51,迁移前必须评估旧数据质量并建立异常队列。,MISSING,,,,,,,
EB-18-002,P0,elmos-rollout-migration,B51,旧余额必须通过 opening balance 双分录导入。,MISSING,,,,,,,
EB-18-003,P0,elmos-rollout-migration,B51,每条迁移记录必须保存源 ID、哈希、版本和审批。,MISSING,,,,,,,
EB-18-004,P0,elmos-rollout-migration,B52,上线前必须运行影子评级并解释新旧差异。,MISSING,,,,,,,
EB-18-005,P0,elmos-rollout-migration,B52,双写阶段只能有一个真实收费权威。,MISSING,,,,,,,
EB-18-006,P0,elmos-rollout-migration,B52,按租户风险分波次金丝雀发布。,MISSING,,,,,,,
EB-18-007,P1,elmos-rollout-migration,B53,重复收费、负余额、预算突破、差异超阈和 SLO 失败必须自动回滚。,MISSING,,,,,,,
EB-18-008,P1,elmos-rollout-migration,B53,切换窗口必须执行最终增量迁移和三方对账。,MISSING,,,,,,,
EB-18-009,P1,elmos-rollout-migration,B53,必须提供客户通知、客服手册和争议快速通道。,MISSING,,,,,,,
EB-18-010,P1,elmos-rollout-migration,B53,旧系统退役前必须保留只读、审计和回退能力。,MISSING,,,,,,,
