local_id,global_id,batch,name,title,purpose,depends_on,path
B98-S06,,98,b98-execution-step-compiler,Execution Step Compiler,"Compile workflows into typed, idempotent and resumable execution steps with explicit inputs, outputs and effects.",B98-S05,agent-skills/runtime/b98-execution-step-compiler/SKILL.md
B98-S07,,98,b98-rollback-compensation-compiler,Rollback and Compensation Compiler,"Compile reversible actions, compensations and irreversible decision gates into runtime-ready plans.",B98-S06,agent-skills/runtime/b98-rollback-compensation-compiler/SKILL.md
B98-S08,,98,b98-test-evidence-contract-compiler,Test and Evidence Contract Compiler,Compile required tests and evidence into machine-enforced obligations bound to exact states and scopes.,B98-S07,agent-skills/runtime/b98-test-evidence-contract-compiler/SKILL.md
B98-S09,,98,b98-deterministic-variable-resolver,Deterministic Variable Resolver,"Resolve parameters, defaults, environment references and secrets without hidden nondeterminism or plaintext exposure.",B98-S08,agent-skills/runtime/b98-deterministic-variable-resolver/SKILL.md
B98-S10,,98,b98-contract-signing-provenance,Contract Signing and Provenance,"Sign executable contracts and bind them to source Skill, compiler, policy and dependency snapshots.",B98-S09,agent-skills/runtime/b98-contract-signing-provenance/SKILL.md
B98-S11,,98,b98-skill-registry-service,Skill Registry Service,"Implement tenant-aware storage, retrieval, lifecycle and immutable versioning for executable Skill contracts.",B98-S10,agent-skills/runtime/b98-skill-registry-service/SKILL.md
B98-S12,,98,b98-capability-search-ranking,Capability Search and Ranking,"Rank candidate Skills by capability fit, evidence, compatibility, cost, risk and historical outcomes without loading the full estate.",B98-S11;B97-S12,agent-skills/runtime/b98-capability-search-ranking/SKILL.md
B98-S13,,98,b98-dependency-closure-resolver,Dependency Closure Resolver,Resolve the minimal compatible dependency closure for a selected Skill or route pack.,B98-S12;B97-S05,agent-skills/runtime/b98-dependency-closure-resolver/SKILL.md
B98-S14,,98,b98-skill-conflict-arbitrator,Skill Conflict Arbitrator,"Arbitrate overlapping write sets, contradictory policies and competing implementations before execution.",B98-S13,agent-skills/runtime/b98-skill-conflict-arbitrator/SKILL.md
B98-S15,,98,b98-contract-compatibility-deprecation,Contract Compatibility and Deprecation,"Validate contract schema evolution, behavior compatibility, replacement paths and deprecation windows.",B98-S14,agent-skills/runtime/b98-contract-compatibility-deprecation/SKILL.md
B98-S16,,98,b98-executable-contract-certification-gate,Executable Contract Certification Gate,"Certify executable contracts only when compilation, guards, permissions, dependencies, rollback, tests, evidence and signatures are complete.",B98-S15,agent-skills/runtime/b98-executable-contract-certification-gate/SKILL.md
B99-S01,,99,b99-durable-run-state-model,Durable Run State Model,"Define the authoritative run, task, step and effect state machines with legal transitions and terminal semantics.",B98-S16,agent-skills/runtime/b99-durable-run-state-model/SKILL.md
B99-S02,,99,b99-plan-to-dag-compiler,Plan to DAG Compiler,Compile selected executable Skill contracts into a deterministic dependency-aware execution DAG.,B99-S01;B98-S06;B98-S13,agent-skills/runtime/b99-plan-to-dag-compiler/SKILL.md
B99-S03,,99,b99-durable-scheduler-queue,Durable Scheduler and Queue,"Schedule runnable DAG nodes with persistence, priorities, fairness, backpressure and tenant isolation.",B99-S02,agent-skills/runtime/b99-durable-scheduler-queue/SKILL.md
B99-S04,,99,b99-task-lease-heartbeat,Task Lease and Heartbeat,"Implement exclusive task claims, heartbeat renewal, expiry and safe reclaim without duplicate effects.",B99-S03,agent-skills/runtime/b99-task-lease-heartbeat/SKILL.md
B99-S05,,99,b99-retry-backoff-policy,Retry and Backoff Policy,"Apply bounded, classified and budget-aware retries without converting deterministic failures into loops.",B99-S04,agent-skills/runtime/b99-retry-backoff-policy/SKILL.md
B99-S06,,99,b99-idempotency-effect-journal,Idempotency and Effect Journal,"Record external effects and enforce idempotency keys, deduplication and reconciliation.",B99-S05;B98-S07,agent-skills/runtime/b99-idempotency-effect-journal/SKILL.md
B99-S07,,99,b99-cancellation-propagation,Cancellation Propagation,"Propagate user, policy, budget and incident cancellation through workflows, runners and external effects.",B99-S06,agent-skills/runtime/b99-cancellation-propagation/SKILL.md
B99-S08,,99,b99-pause-resume-checkpoint,Pause Resume and Checkpoint,Persist resumable checkpoints and approval pauses without replaying completed side effects.,B99-S07,agent-skills/runtime/b99-pause-resume-checkpoint/SKILL.md
B99-S09,,99,b99-saga-compensation-engine,Saga Compensation Engine,Coordinate compensations for partial cross-system failure while preserving audit and residual-risk truth.,B99-S08,agent-skills/runtime/b99-saga-compensation-engine/SKILL.md
B99-S10,,99,b99-workflow-versioning-replay,Workflow Versioning and Replay,"Support deterministic workflow code evolution, replay and migration for in-flight runs.",B99-S09,agent-skills/runtime/b99-workflow-versioning-replay/SKILL.md
B99-S11,,99,b99-external-effect-outbox-inbox,External Effect Outbox and Inbox,"Provide durable outbox/inbox patterns for messages, webhooks and provider calls with deduplication.",B99-S10,agent-skills/runtime/b99-external-effect-outbox-inbox/SKILL.md
B99-S12,,99,b99-execution-budget-quota,Execution Budget and Quota,"Enforce time, token, compute, storage, network and external-operation budgets at run and tenant scope.",B99-S11,agent-skills/runtime/b99-execution-budget-quota/SKILL.md
B99-S13,,99,b99-concurrency-fairness-controller,Concurrency and Fairness Controller,"Control global, tenant, repository and resource-key concurrency with anti-starvation behavior.",B99-S12,agent-skills/runtime/b99-concurrency-fairness-controller/SKILL.md
B99-S14,,99,b99-failure-classification-diagnostics,Failure Classification and Diagnostics,"Classify model, contract, dependency, build, test, runtime, policy, infrastructure and user failures before repair.",B99-S13,agent-skills/runtime/b99-failure-classification-diagnostics/SKILL.md
B99-S15,,99,b99-runtime-observability-tracing,Runtime Observability and Tracing,"Instrument runs, DAG nodes, runner tasks, tool calls, effects and evidence with correlated telemetry.",B99-S14,agent-skills/runtime/b99-runtime-observability-tracing/SKILL.md
B99-S16,,99,b99-durable-runtime-certification-gate,Durable Runtime Certification Gate,"Certify runtime behavior only after recovery, retry, cancellation, replay, budget, fairness and failure-injection evidence passes.",B99-S15;B98-S16,agent-skills/runtime/b99-durable-runtime-certification-gate/SKILL.md
B100-S01,,100,b100-runner-enrollment-workload-identity,Runner Enrollment and Workload Identity,Enroll runners with unique short-lived workload identities and explicit tenant or fleet ownership.,B99-S16,agent-skills/runtime/b100-runner-enrollment-workload-identity/SKILL.md
B100-S02,,100,b100-runner-mtls-channel,Runner mTLS Channel,"Establish mutually authenticated, rotated and policy-bound runner control channels.",B100-S01,agent-skills/runtime/b100-runner-mtls-channel/SKILL.md
B100-S03,,100,b100-runner-attestation-posture,Runner Attestation and Posture,"Attest runner software, image, kernel, configuration and policy posture before sensitive tasks.",B100-S02,agent-skills/runtime/b100-runner-attestation-posture/SKILL.md
B100-S04,,100,b100-signed-task-envelope-verifier,Signed Task Envelope Verifier,"Verify task signature, nonce, audience, scope, expiry and capability manifest before claim.",B100-S03;B98-S05,agent-skills/runtime/b100-signed-task-envelope-verifier/SKILL.md
B100-S05,,100,b100-sandbox-profile-selector,Sandbox Profile Selector,"Select container, microVM, VM, device or isolated-host profiles based on risk and tool requirements.",B100-S04,agent-skills/runtime/b100-sandbox-profile-selector/SKILL.md
B100-S06,,100,b100-workspace-filesystem-isolation,Workspace and Filesystem Isolation,"Create per-task isolated workspaces with safe mounts, path controls, cleanup and residue detection.",B100-S05,agent-skills/runtime/b100-workspace-filesystem-isolation/SKILL.md
B100-S07,,100,b100-process-execution-allowlist,Process Execution Allowlist,"Execute only inspected, declared and policy-authorized commands without arbitrary shell escape.",B100-S06,agent-skills/runtime/b100-process-execution-allowlist/SKILL.md
B100-S08,,100,b100-network-egress-control,Network Egress Control,"Apply default-deny DNS, IP, port, protocol and identity-aware egress controls per task.",B100-S07,agent-skills/runtime/b100-network-egress-control/SKILL.md
B100-S09,,100,b100-secret-broker-redaction,Secret Broker and Redaction,"Inject task-scoped secrets by reference, redact all surfaces and revoke immediately after use.",B100-S08,agent-skills/runtime/b100-secret-broker-redaction/SKILL.md
B100-S10,,100,b100-resource-quota-enforcer,Resource Quota Enforcer,"Enforce CPU, memory, disk, inode, process, network and wall-clock budgets against hostile workloads.",B100-S09,agent-skills/runtime/b100-resource-quota-enforcer/SKILL.md
B100-S11,,100,b100-artifact-signing-upload,Artifact Signing and Upload,"Hash, sign, scan and upload artifacts through content-addressed, tenant-isolated channels.",B100-S10,agent-skills/runtime/b100-artifact-signing-upload/SKILL.md
B100-S12,,100,b100-runner-lease-cancel-protocol,Runner Lease and Cancel Protocol,"Coordinate task leases, heartbeat, cancellation, result fencing and stale runner behavior.",B100-S11;B99-S04;B99-S07,agent-skills/runtime/b100-runner-lease-cancel-protocol/SKILL.md
B100-S13,,100,b100-fleet-routing-capability-match,Fleet Routing and Capability Match,"Route tasks to compatible, healthy and authorized runners by platform, toolchain, trust and locality.",B100-S12,agent-skills/runtime/b100-fleet-routing-capability-match/SKILL.md
B100-S14,,100,b100-runner-upgrade-drain,Runner Upgrade and Drain,"Patch runners safely through staged rollout, drain, rollback and version compatibility checks.",B100-S13,agent-skills/runtime/b100-runner-upgrade-drain/SKILL.md
B100-S15,,100,b100-runner-quarantine-revocation,Runner Quarantine and Revocation,"Quarantine compromised or unhealthy runners, revoke credentials and preserve forensic evidence.",B100-S14,agent-skills/runtime/b100-runner-quarantine-revocation/SKILL.md
B100-S16,,100,b100-runner-fabric-certification-gate,Runner Fabric Certification Gate,"Certify runner profiles only after identity, attestation, isolation, malicious workload, cancellation and recovery tests pass.",B100-S15;B99-S16,agent-skills/runtime/b100-runner-fabric-certification-gate/SKILL.md
B101-S01,,101,b101-golden-route-common-contract,Golden Route Common Contract,"Define the common repository-to-PR lifecycle, evidence, state and rollback contract shared by Java, .NET and Python routes.",B100-S16;B97-S12;B98-S16;B99-S16,agent-skills/runtime/b101-golden-route-common-contract/SKILL.md
B101-S02,,101,b101-java-route-discovery-baseline,Java Route Discovery and Baseline,Discover Maven and Gradle Java estates and reproduce a clean immutable baseline build and test profile.,B101-S01,agent-skills/runtime/b101-java-route-discovery-baseline/SKILL.md
B101-S03,,101,b101-java8-21-modernization-recipe,Java 8 to 21 Modernization Recipe,"Apply deterministic language, dependency, module and runtime upgrades with compatibility obligations.",B101-S02,agent-skills/runtime/b101-java8-21-modernization-recipe/SKILL.md
B101-S04,,101,b101-spring-boot-modernization-route,Spring Boot Modernization Route,"Migrate Spring Boot, Security, Data, MVC/WebFlux, configuration and observability with endpoint-level fidelity.",B101-S03,agent-skills/runtime/b101-spring-boot-modernization-route/SKILL.md
B101-S05,,101,b101-java-data-messaging-scheduler-route,Java Data Messaging and Scheduler Route,"Preserve JPA/JDBC transactions, schema, Kafka/JMS acknowledgment, cache and scheduler semantics.",B101-S04,agent-skills/runtime/b101-java-data-messaging-scheduler-route/SKILL.md
B101-S06,,101,b101-java-route-verification-pr,Java Route Verification and PR,"Build, test, run differential journeys, generate an evidence-backed PR and prove rollback for the Java route.",B101-S05,agent-skills/runtime/b101-java-route-verification-pr/SKILL.md
B101-S07,,101,b101-dotnet-route-discovery-baseline,.NET Route Discovery and Baseline,"Discover solutions, projects, packages, frameworks, workloads and reproduce the source baseline.",B101-S06,agent-skills/runtime/b101-dotnet-route-discovery-baseline/SKILL.md
B101-S08,,101,b101-framework-to-modern-dotnet-route,.NET Framework to Modern .NET Route,Plan and implement staged migration from .NET Framework to supported modern .NET targets.,B101-S07,agent-skills/runtime/b101-framework-to-modern-dotnet-route/SKILL.md
B101-S09,,101,b101-aspnet-ef-wcf-modernization-route,ASP.NET EF and WCF Modernization Route,"Modernize ASP.NET, authentication, middleware, Entity Framework and WCF boundaries with contract preservation.",B101-S08,agent-skills/runtime/b101-aspnet-ef-wcf-modernization-route/SKILL.md
B101-S10,,101,b101-dotnet-route-verification-pr,.NET Route Verification and PR,"Execute Windows/Linux-aware build, tests, runtime probes, differential journeys, PR and rollback evidence.",B101-S09,agent-skills/runtime/b101-dotnet-route-verification-pr/SKILL.md
B101-S11,,101,b101-python-route-discovery-environment,Python Route Discovery and Environment,"Discover Python versions, dependency managers, native extensions, notebooks, web apps, data and ML workloads and reproduce environments.",B101-S10,agent-skills/runtime/b101-python-route-discovery-environment/SKILL.md
B101-S12,,101,b101-python2-legacy-upgrade-route,Python 2 and Legacy Upgrade Route,"Upgrade Python 2 or legacy Python code, packaging and syntax with semantic and encoding fidelity.",B101-S11,agent-skills/runtime/b101-python2-legacy-upgrade-route/SKILL.md
B101-S13,,101,b101-django-flask-modernization-route,Django and Flask Modernization Route,"Modernize Django or Flask routing, middleware, auth, ORM, sessions, migrations and deployment behavior.",B101-S12,agent-skills/runtime/b101-django-flask-modernization-route/SKILL.md
B101-S14,,101,b101-python-data-ml-pipeline-route,Python Data and ML Pipeline Route,"Modernize batch, notebook, orchestration, numerical and ML pipelines with data and model behavior evidence.",B101-S13,agent-skills/runtime/b101-python-data-ml-pipeline-route/SKILL.md
B101-S15,,101,b101-python-route-verification-pr,Python Route Verification and PR,"Run environment, test, web/data/ML journey, package, PR and rollback validation for the Python route.",B101-S14,agent-skills/runtime/b101-python-route-verification-pr/SKILL.md
B101-S16,,101,b101-golden-route-certification-gate,Golden Route Certification Gate,"Certify Java, .NET and Python route packs against representative holdout repositories and exact evidence.",B101-S15;B102-S16;B103-S16,agent-skills/runtime/b101-golden-route-certification-gate/SKILL.md
B102-S01,,102,b102-oracle-registry-governance,Oracle Registry and Governance,"Register authoritative, supporting and prohibited oracle types with ownership and confidence.",B101-S16,agent-skills/runtime/b102-oracle-registry-governance/SKILL.md
B102-S02,,102,b102-characterization-test-miner,Characterization Test Miner,Mine observed source behavior into stable tests without freezing known defects uncritically.,B102-S01,agent-skills/runtime/b102-characterization-test-miner/SKILL.md
B102-S03,,102,b102-golden-master-capture,Golden Master Capture,"Capture canonical outputs, state transitions and side effects with normalization and approval.",B102-S02,agent-skills/runtime/b102-golden-master-capture/SKILL.md
B102-S04,,102,b102-differential-execution-harness,Differential Execution Harness,"Run source and target against identical inputs, environments and controlled dependencies and compare observations.",B102-S03;B99-S08;B100-S12,agent-skills/runtime/b102-differential-execution-harness/SKILL.md
B102-S05,,102,b102-api-contract-equivalence,API Contract Equivalence,"Compare routes, methods, auth, validation, error models, schemas, ordering, pagination and compatibility.",B102-S04,agent-skills/runtime/b102-api-contract-equivalence/SKILL.md
B102-S06,,102,b102-data-query-equivalence,Data and Query Equivalence,"Compare schema, constraints, data transformations, query results, ordering, precision and null semantics.",B102-S05,agent-skills/runtime/b102-data-query-equivalence/SKILL.md
B102-S07,,102,b102-business-invariant-engine,Business Invariant Engine,"Define and evaluate business invariants across state, balance, inventory, permissions, audit and reporting.",B102-S06,agent-skills/runtime/b102-business-invariant-engine/SKILL.md
B102-S08,,102,b102-messaging-idempotency-equivalence,Messaging and Idempotency Equivalence,"Compare delivery, acknowledgment, retry, ordering, deduplication and side-effect idempotency.",B102-S07,agent-skills/runtime/b102-messaging-idempotency-equivalence/SKILL.md
B102-S09,,102,b102-transaction-concurrency-equivalence,Transaction and Concurrency Equivalence,"Compare transaction boundaries, isolation, locking, deadlocks, retries and race-sensitive outcomes.",B102-S08,agent-skills/runtime/b102-transaction-concurrency-equivalence/SKILL.md
B102-S10,,102,b102-time-randomness-environment-control,Time Randomness and Environment Control,"Control clocks, time zones, random seeds, locale, ports and environment-dependent behavior.",B102-S09,agent-skills/runtime/b102-time-randomness-environment-control/SKILL.md
B102-S11,,102,b102-performance-resource-equivalence,Performance and Resource Equivalence,"Compare latency, throughput, memory, CPU, allocation, artifact size and capacity under representative workloads.",B102-S10,agent-skills/runtime/b102-performance-resource-equivalence/SKILL.md
B102-S12,,102,b102-security-behavior-equivalence,Security Behavior Equivalence,"Compare identity, authentication, authorization, tenant isolation, validation, secrets and audit behavior.",B102-S11,agent-skills/runtime/b102-security-behavior-equivalence/SKILL.md
B102-S13,,102,b102-metamorphic-property-testing,Metamorphic and Property Testing,Generate properties and transformations that reveal defects beyond example-based tests.,B102-S12,agent-skills/runtime/b102-metamorphic-property-testing/SKILL.md
B102-S14,,102,b102-human-oracle-approval,Human Oracle and Approval,"Capture expert judgments for irreducible semantics with exact scope, evidence and separation of duties.",B102-S13,agent-skills/runtime/b102-human-oracle-approval/SKILL.md
B102-S15,,102,b102-equivalence-evidence-freshness,Equivalence Evidence Freshness,"Invalidate equivalence results when code, tests, data, environment, dependency, tool or policy changes.",B102-S14;B103-S09,agent-skills/runtime/b102-equivalence-evidence-freshness/SKILL.md
B102-S16,,102,b102-semantic-equivalence-certification-gate,Semantic Equivalence Certification Gate,"Certify exact route and journey scopes only when authoritative oracles, representative tests and fresh evidence agree.",B102-S15,agent-skills/runtime/b102-semantic-equivalence-certification-gate/SKILL.md
B103-S01,,103,b103-canonical-evidence-record-schema,Canonical Evidence Record Schema,"Define one versioned evidence record for source, execution, tests, artifacts, approvals, limitations and state claims.",B102-S16,agent-skills/runtime/b103-canonical-evidence-record-schema/SKILL.md
B103-S02,,103,b103-content-addressed-evidence-store,Content Addressed Evidence Store,"Store immutable evidence and artifacts by digest with tenant isolation, retention and legal-hold support.",B103-S01,agent-skills/runtime/b103-content-addressed-evidence-store/SKILL.md
B103-S03,,103,b103-evidence-lineage-graph,Evidence Lineage Graph,"Link requirements, Skills, contracts, runs, steps, tool calls, patches, tests, artifacts, approvals and gates.",B103-S02;B97-S10;B99-S15,agent-skills/runtime/b103-evidence-lineage-graph/SKILL.md
B103-S04,,103,b103-run-environment-fingerprint,Run and Environment Fingerprint,"Fingerprint source state, runner, OS, toolchains, dependencies, services, test data and policies for reproducibility.",B103-S03,agent-skills/runtime/b103-run-environment-fingerprint/SKILL.md
B103-S05,,103,b103-artifact-provenance-signing,Artifact Provenance and Signing,"Generate signed provenance for patches, binaries, images, reports and route packs.",B103-S04,agent-skills/runtime/b103-artifact-provenance-signing/SKILL.md
B103-S06,,103,b103-tool-model-invocation-record,Tool and Model Invocation Record,"Record every consequential tool and model invocation with inputs, outputs, policy, cost and redaction.",B103-S05,agent-skills/runtime/b103-tool-model-invocation-record/SKILL.md
B103-S07,,103,b103-test-result-normalizer,Test Result Normalizer,"Normalize unit, integration, E2E, security, performance, device, infrastructure and manual results without erasing skips or flakes.",B103-S06,agent-skills/runtime/b103-test-result-normalizer/SKILL.md
B103-S08,,103,b103-approval-waiver-governance,Approval and Waiver Governance,Govern approvals and tightly bounded expiring waivers with separation of duties and non-waivable P0 rules.,B103-S07,agent-skills/runtime/b103-approval-waiver-governance/SKILL.md
B103-S09,,103,b103-evidence-expiry-invalidation,Evidence Expiry and Invalidation,Expire and invalidate evidence on time or causal change and propagate revocation to certifications.,B103-S08,agent-skills/runtime/b103-evidence-expiry-invalidation/SKILL.md
B103-S10,,103,b103-immutable-audit-ledger,Immutable Audit Ledger,"Record actor, decision, mutation, access and certification events in tamper-evident sequence.",B103-S09,agent-skills/runtime/b103-immutable-audit-ledger/SKILL.md
B103-S11,,103,b103-certification-policy-engine,Certification Policy Engine,Evaluate versioned certification rules deterministically against exact evidence scopes.,B103-S10;B98-S08,agent-skills/runtime/b103-certification-policy-engine/SKILL.md
B103-S12,,103,b103-scoped-certification-state,Scoped Certification State,"Represent certification by exact repository, commit, route, environment, journey, artifact and time scope.",B103-S11,agent-skills/runtime/b103-scoped-certification-state/SKILL.md
B103-S13,,103,b103-independent-verifier-workflow,Independent Verifier Workflow,Run evidence review and selected re-execution by an identity independent from implementation.,B103-S12,agent-skills/runtime/b103-independent-verifier-workflow/SKILL.md
B103-S14,,103,b103-evidence-export-portability,Evidence Export and Portability,"Export redacted, signed and independently verifiable evidence packs for customers, auditors and air-gapped review.",B103-S13,agent-skills/runtime/b103-evidence-export-portability/SKILL.md
B103-S15,,103,b103-assurance-cockpit-read-model,Assurance Cockpit Read Model,"Build evidence-backed read models for progress, coverage, risk, exceptions, freshness and certification state.",B103-S14,agent-skills/runtime/b103-assurance-cockpit-read-model/SKILL.md
B103-S16,,103,b103-anti-fake-certification-gate,Anti-Fake Certification Gate,"Reject fabricated, incomplete, stale, mock-only, self-approved or scope-inflated certifications.",B103-S15,agent-skills/runtime/b103-anti-fake-certification-gate/SKILL.md
B104-S01,,104,b104-certification-corpus-governance,Certification Corpus Governance,"Govern representative public, synthetic and customer-approved repositories with licensing, privacy and contamination controls.",B103-S16,agent-skills/runtime/b104-certification-corpus-governance/SKILL.md
B104-S02,,104,b104-representative-repository-selection,Representative Repository Selection,"Select repositories by language, framework, size, topology, dependency, quality and failure characteristics.",B104-S01,agent-skills/runtime/b104-representative-repository-selection/SKILL.md
B104-S03,,104,b104-certification-environment-matrix,Certification Environment Matrix,"Define and provision supported OS, architecture, runtime, database, container, cluster, CI and cloud matrices.",B104-S02,agent-skills/runtime/b104-certification-environment-matrix/SKILL.md
B104-S04,,104,b104-clean-room-end-to-end-benchmark,Clean Room End to End Benchmark,"Run repository-to-report, patch, build, test, PR, evidence and rollback from empty trusted environments.",B104-S03;B101-S16;B102-S16;B103-S16,agent-skills/runtime/b104-clean-room-end-to-end-benchmark/SKILL.md
B104-S05,,104,b104-portfolio-scale-benchmark,Portfolio Scale Benchmark,"Measure thousand-repository and million-line scheduling, storage, runner, graph, evidence and control-plane behavior.",B104-S04,agent-skills/runtime/b104-portfolio-scale-benchmark/SKILL.md
B104-S06,,104,b104-fault-injection-resilience-campaign,Fault Injection and Resilience Campaign,"Inject runner death, network loss, provider limits, registry failure, database locks, queue duplication and budget exhaustion.",B104-S05,agent-skills/runtime/b104-fault-injection-resilience-campaign/SKILL.md
B104-S07,,104,b104-security-red-team-campaign,Security Red Team Campaign,"Attack repository ingestion, prompts, sandboxes, secrets, supply chain, tenancy, APIs, CI and evidence gates.",B104-S06,agent-skills/runtime/b104-security-red-team-campaign/SKILL.md
B104-S08,,104,b104-upgrade-rollback-certification,Upgrade and Rollback Certification,"Certify ELMOS Core, Skill, schema, workflow, runner and route upgrades with rollback and in-flight compatibility.",B104-S07,agent-skills/runtime/b104-upgrade-rollback-certification/SKILL.md
B104-S09,,104,b104-disaster-recovery-replay-certification,Disaster Recovery and Replay Certification,"Prove backup, restore, regional recovery, workflow replay and external-effect reconciliation.",B104-S08,agent-skills/runtime/b104-disaster-recovery-replay-certification/SKILL.md
B104-S10,,104,b104-customer-pilot-onboarding,Customer Pilot Onboarding,"Onboard pilots with repository access, privacy, route fit, success criteria, support and exit plans.",B104-S09,agent-skills/runtime/b104-customer-pilot-onboarding/SKILL.md
B104-S11,,104,b104-customer-acceptance-protocol,Customer Acceptance Protocol,"Run customer-observed functional, behavioral, security, performance and operational acceptance.",B104-S10,agent-skills/runtime/b104-customer-acceptance-protocol/SKILL.md
B104-S12,,104,b104-operational-slo-readiness,Operational SLO and Readiness,"Define and validate availability, latency, durability, recovery, support and evidence freshness SLOs.",B104-S11,agent-skills/runtime/b104-operational-slo-readiness/SKILL.md
B104-S13,,104,b104-cost-unit-economics-certification,Cost and Unit Economics Certification,"Measure per-repository, per-LOC, per-runner-hour, per-model and support cost with margin scenarios.",B104-S12,agent-skills/runtime/b104-cost-unit-economics-certification/SKILL.md
