source,target,route_class,default_mode,semantic_bridge,minimum_gate,readiness
rust,javascript,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
rust,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
rust,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
rust,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
rust,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
rust,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
rust,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
rust,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
rust,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
rust,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
rust,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
rust,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
rust,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+numerical,executed-evidence,not-run
rust,ada-spark,reference-golden-route,convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
rust,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,java,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,kotlin,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,python,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,csharp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,go,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,cpp,in-place-modernization,modernize,native-abi+safety,executed-evidence,not-run
cpp,php,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,typescript,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,react,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,objc,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,swift,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,flutter,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,javascript,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
cpp,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
cpp,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
cpp,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
cpp,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
cpp,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
cpp,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+numerical,executed-evidence,not-run
cpp,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
cpp,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety+record+transaction+4gl,executed-evidence,not-run
php,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
php,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
php,php,in-place-modernization,modernize,,executed-evidence,not-run
php,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
php,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
php,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
php,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
php,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
php,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
php,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
php,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
php,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
php,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
php,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
php,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
php,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
php,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
php,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
typescript,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
typescript,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,typescript,in-place-modernization,modernize,,executed-evidence,not-run
typescript,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
typescript,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
typescript,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
typescript,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
typescript,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
typescript,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
typescript,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
typescript,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
typescript,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
react,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
react,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,react,in-place-modernization,modernize,,executed-evidence,not-run
react,objc,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
react,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
react,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,pli,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,vb6,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
react,vbscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
react,object-pascal,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior,executed-evidence,not-run
react,powerscript,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,abap,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,natural,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,abl,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
react,fortran,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+numerical,executed-evidence,not-run
react,ada-spark,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
react,xbase,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
objc,java,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,kotlin,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,python,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,csharp,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,go,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,rust,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
objc,cpp,ir-mediated-planned,assess-then-convert,native-abi+safety,executed-evidence,not-run
objc,php,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,typescript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,react,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,objc,in-place-modernization,modernize,,executed-evidence,not-run
objc,swift,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,flutter,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,javascript,ir-mediated-planned,assess-then-convert,,executed-evidence,not-run
objc,c,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+native-abi+safety,executed-evidence,not-run
objc,cobol,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
objc,rpg,ir-mediated-planned,assess-then-convert,repository+business-rule+behavior+record+transaction+4gl,executed-evidence,not-run
