id,skillId,kind,title,preconditions,expected
SCN-02-04-03,external-dependency-stub-and-service-virtualization,positive-or-edge,Identity provider cannot be reached from sandbox,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-02-04-01,external-dependency-stub-and-service-virtualization,negative-trigger,simulate a service without documenting fidelity limits,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-04-02,external-dependency-stub-and-service-virtualization,negative-trigger,use production credentials in tests,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-02-05-01,support-profile-and-unknown-register,positive-or-edge,Unsupported niche language,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-05-02,support-profile-and-unknown-register,positive-or-edge,Dynamic reflection prevents complete call resolution,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-05-03,support-profile-and-unknown-register,positive-or-edge,Production configuration is inaccessible,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-02-05-01,support-profile-and-unknown-register,negative-trigger,claim all issues found,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-05-02,support-profile-and-unknown-register,negative-trigger,hide unsupported assets,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-05-03,support-profile-and-unknown-register,negative-trigger,convert uncertainty into low-severity finding,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-02-06-01,runtime-observation-and-traffic-capture,positive-or-edge,Production-only race condition,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-06-02,runtime-observation-and-traffic-capture,positive-or-edge,Legacy application has no tracing,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-02-06-03,runtime-observation-and-traffic-capture,positive-or-edge,Traffic contains sensitive identifiers,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-02-06-01,runtime-observation-and-traffic-capture,negative-trigger,capture without authorization,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-06-02,runtime-observation-and-traffic-capture,negative-trigger,store raw secrets or personal data,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-02-06-03,runtime-observation-and-traffic-capture,negative-trigger,treat sampled traffic as exhaustive,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-03-01-01,polyglot-semantic-system-graph,positive-or-edge,Java and TypeScript monorepo,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-01-02,polyglot-semantic-system-graph,positive-or-edge,Polyglot microservices with shared schemas,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-01-03,polyglot-semantic-system-graph,positive-or-edge,Reflection and generated clients create ambiguous edges,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-03-01-01,polyglot-semantic-system-graph,negative-trigger,text-only summary,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-03-01-02,polyglot-semantic-system-graph,negative-trigger,regex-only refactor,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-03-01-03,polyglot-semantic-system-graph,negative-trigger,claim resolved dynamic behavior without evidence,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-03-02-01,business-capability-code-mapping,positive-or-edge,Core order workflow spans five services,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-02-02,business-capability-code-mapping,positive-or-edge,Business rules differ between UI and database routine,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-02-03,business-capability-code-mapping,positive-or-edge,No owner knows a legacy exception path,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-03-02-01,business-capability-code-mapping,negative-trigger,infer business truth from names alone,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-03-02-02,business-capability-code-mapping,negative-trigger,replace domain expert approval,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-03-03-01,data-event-permission-lineage,positive-or-edge,Tenant ID dropped in async job,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-03-02,data-event-permission-lineage,positive-or-edge,PII copied into logs and embeddings,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-03-03,data-event-permission-lineage,positive-or-edge,Duplicate event may cause repeated payment,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-03-03-01,data-event-permission-lineage,negative-trigger,assume framework annotations guarantee authorization,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-03-03-02,data-event-permission-lineage,negative-trigger,ignore batch and offline paths,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-03-04-01,git-history-ownership-change-coupling,positive-or-edge,Critical module has one historical maintainer,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-04-02,git-history-ownership-change-coupling,positive-or-edge,Files in different services always change together,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-04-03,git-history-ownership-change-coupling,positive-or-edge,Large formatter commit distorts churn,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-03-04-01,git-history-ownership-change-coupling,negative-trigger,rank individual performance,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-03-04-02,git-history-ownership-change-coupling,negative-trigger,infer blame or intent without evidence,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-03-05-01,static-dynamic-evidence-fusion,positive-or-edge,Static call graph disagrees with production trace,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-05-02,static-dynamic-evidence-fusion,positive-or-edge,Documentation contradicts tests,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-03-05-03,static-dynamic-evidence-fusion,positive-or-edge,Finding relies on an old build,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-03-05-01,static-dynamic-evidence-fusion,negative-trigger,majority vote over incompatible evidence,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-03-05-02,static-dynamic-evidence-fusion,negative-trigger,overwrite contradictions,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-03-05-03,static-dynamic-evidence-fusion,negative-trigger,use stale evidence silently,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-04-01-01,issue-ontology-and-finding-normalization,positive-or-edge,Multiple tools report the same SQL injection path,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-01-02,issue-ontology-and-finding-normalization,positive-or-edge,Many local smells share one missing architecture boundary,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-01-03,issue-ontology-and-finding-normalization,positive-or-edge,A model suggests a bug with no reproducible evidence,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-04-01-01,issue-ontology-and-finding-normalization,negative-trigger,paste scanner output,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-01-02,issue-ontology-and-finding-normalization,negative-trigger,create unsupported finding,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-01-03,issue-ontology-and-finding-normalization,negative-trigger,assign severity without impact context,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-04-02-01,architecture-maintainability-audit,positive-or-edge,Spring monolith with package cycles,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-02-02,architecture-maintainability-audit,positive-or-edge,Microservices share one database and release train,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-02-03,architecture-maintainability-audit,positive-or-edge,God service blocks framework upgrade,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-04-02-01,architecture-maintainability-audit,negative-trigger,style-only review,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-02-02,architecture-maintainability-audit,negative-trigger,recommend microservices by default,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-02-03,architecture-maintainability-audit,negative-trigger,rewrite without business value,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-04-03-01,correctness-concurrency-consistency-audit,positive-or-edge,Duplicate message charges twice,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-03-02,correctness-concurrency-consistency-audit,positive-or-edge,Clock shift expires session early,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-03-03,correctness-concurrency-consistency-audit,positive-or-edge,Thread pool shutdown leaks resources,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-04-03-01,correctness-concurrency-consistency-audit,negative-trigger,prove all behavior from static text,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-03-02,correctness-concurrency-consistency-audit,negative-trigger,silently change externally visible semantics,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-04-04-01,security-privacy-supply-chain-audit,positive-or-edge,Cross-tenant cache leak,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-04-02,security-privacy-supply-chain-audit,positive-or-edge,Prompt injection reaches a write tool,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-04-03,security-privacy-supply-chain-audit,positive-or-edge,Build dependency lacks provenance,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-04-04-01,security-privacy-supply-chain-audit,negative-trigger,penetrate production without authorization,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-04-02,security-privacy-supply-chain-audit,negative-trigger,declare compliance,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-04-03,security-privacy-supply-chain-audit,negative-trigger,expose secrets to model,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-04-05-01,data-database-migration-audit,positive-or-edge,Oracle routine conversion to PostgreSQL,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-05-02,data-database-migration-audit,positive-or-edge,Backfill may violate unique constraint,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-05-03,data-database-migration-audit,positive-or-edge,ORM N+1 appears only at realistic volume,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
NEG-04-05-01,data-database-migration-audit,negative-trigger,run destructive query on production,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
NEG-04-05-02,data-database-migration-audit,negative-trigger,infer data meaning from column names alone,"[""Request resembles adjacent work but is outside this Skill ownership""]","[""Skill does not activate or delegates to canonical owner"", ""No side effect"", ""Decision is auditable""]"
SCN-04-06-01,performance-reliability-observability-audit,positive-or-edge,P95 latency grows superlinearly,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
SCN-04-06-02,performance-reliability-observability-audit,positive-or-edge,Retry storm during dependency outage,"[""Exact tenant, engagement, RevisionSet and policy are known""]","[""Typed output"", ""Evidence and unknowns retained"", ""No authority escalation"", ""Independent verification handoff""]"
