id,type,skillId,pack,priority,riskClass,statement,owner,verification,completionBoundary
REQ-01-03-05,functional,pilot-scope-sow-acceptance,01-fde-engagement,P0,high,"Bind scope to exact repositories, environments, data classes, and authority boundaries.",fde-delivery-governance-team,pilot-scope-sow-acceptance-AC-05,E3
REQ-01-04-01,functional,status-risk-decision-communications,01-fde-engagement,P1,medium,Derive status from execution and evidence ledgers rather than agent self-report.,fde-program-operations-team,status-risk-decision-communications-AC-01,E2
REQ-01-04-02,functional,status-risk-decision-communications,01-fde-engagement,P1,medium,"Report scope, progress, risks, blockers, decisions, cost, machine wall-clock, and next gates.",fde-program-operations-team,status-risk-decision-communications-AC-02,E2
REQ-01-04-03,functional,status-risk-decision-communications,01-fde-engagement,P1,medium,"Distinguish completed, in-progress, blocked, unknown, unsupported, and waived work.",fde-program-operations-team,status-risk-decision-communications-AC-03,E2
REQ-01-04-04,functional,status-risk-decision-communications,01-fde-engagement,P1,medium,"Escalate material changes to security, correctness, schedule, or acceptance confidence.",fde-program-operations-team,status-risk-decision-communications-AC-04,E2
REQ-01-04-05,functional,status-risk-decision-communications,01-fde-engagement,P1,medium,Keep executive and engineering views consistent through shared identifiers.,fde-program-operations-team,status-risk-decision-communications-AC-05,E2
REQ-01-05-01,functional,procurement-security-questionnaire,01-fde-engagement,P2,high,"Answer only from versioned product, deployment, policy, and evidence sources.",trust-commercial-readiness-team,procurement-security-questionnaire-AC-01,E3
REQ-01-05-02,functional,procurement-security-questionnaire,01-fde-engagement,P2,high,"Mark unsupported, planned, customer-responsibility, and release-time-configured controls distinctly.",trust-commercial-readiness-team,procurement-security-questionnaire-AC-02,E3
REQ-01-05-03,functional,procurement-security-questionnaire,01-fde-engagement,P2,high,Route legal and regulatory interpretations to authorized humans.,trust-commercial-readiness-team,procurement-security-questionnaire-AC-03,E3
REQ-01-05-04,functional,procurement-security-questionnaire,01-fde-engagement,P2,high,Prevent reuse of stale answers after architecture or policy changes.,trust-commercial-readiness-team,procurement-security-questionnaire-AC-04,E3
REQ-01-05-05,functional,procurement-security-questionnaire,01-fde-engagement,P2,high,Produce a gap and remediation plan for unanswered requirements.,trust-commercial-readiness-team,procurement-security-questionnaire-AC-05,E3
REQ-01-06-01,functional,adoption-change-management,01-fde-engagement,P1,medium,"Segment users by role, workflow, risk, and readiness.",customer-adoption-team,adoption-change-management-AC-01,E2
REQ-01-06-02,functional,adoption-change-management,01-fde-engagement,P1,medium,"Define enablement, pilot cohorts, champions, office hours, and support channels.",customer-adoption-team,adoption-change-management-AC-02,E2
REQ-01-06-03,functional,adoption-change-management,01-fde-engagement,P1,medium,"Measure activation, repeat use, completion, intervention, and business outcomes.",customer-adoption-team,adoption-change-management-AC-03,E2
REQ-01-06-04,functional,adoption-change-management,01-fde-engagement,P1,medium,Capture feedback with consent and tenant-specific data-use controls.,customer-adoption-team,adoption-change-management-AC-04,E2
REQ-01-06-05,functional,adoption-change-management,01-fde-engagement,P1,medium,Create an operational ownership and knowledge-transfer exit plan.,customer-adoption-team,adoption-change-management-AC-05,E2
REQ-02-01-01,functional,repository-custody-and-revisionset,02-repository-intake-runtime,P0,critical,"Verify tenant, repository, branch, commit, submodule, LFS, and artifact authorization before access.",repository-runtime-team,repository-custody-and-revisionset-AC-01,E3
REQ-02-01-02,functional,repository-custody-and-revisionset,02-repository-intake-runtime,P0,critical,Create an immutable RevisionSet covering every repository and external artifact used by the task.,repository-runtime-team,repository-custody-and-revisionset-AC-02,E3
REQ-02-01-03,functional,repository-custody-and-revisionset,02-repository-intake-runtime,P0,critical,Preserve source integrity and separate read-only intake from writable transformation workspaces.,repository-runtime-team,repository-custody-and-revisionset-AC-03,E3
REQ-02-01-04,functional,repository-custody-and-revisionset,02-repository-intake-runtime,P0,critical,"Hash imported files, manifests, archives, and generated inventories.",repository-runtime-team,repository-custody-and-revisionset-AC-04,E3
REQ-02-01-05,functional,repository-custody-and-revisionset,02-repository-intake-runtime,P0,critical,Block analysis when repository identity or custody is ambiguous.,repository-runtime-team,repository-custody-and-revisionset-AC-05,E3
REQ-02-02-01,functional,asset-inventory-and-classification,02-repository-intake-runtime,P0,high,"Classify every file and directory with confidence, origin, ownership, and processing policy.",repository-intelligence-team,asset-inventory-and-classification-AC-01,E1
REQ-02-02-02,functional,asset-inventory-and-classification,02-repository-intake-runtime,P0,high,"Detect languages, frameworks, build systems, package managers, schemas, IaC, CI/CD, and test assets.",repository-intelligence-team,asset-inventory-and-classification-AC-02,E1
REQ-02-02-03,functional,asset-inventory-and-classification,02-repository-intake-runtime,P0,high,"Identify generated, vendored, duplicated, encrypted, binary, ignored, and unreachable assets.",repository-intelligence-team,asset-inventory-and-classification-AC-03,E1
REQ-02-02-04,functional,asset-inventory-and-classification,02-repository-intake-runtime,P0,high,"Map monorepo, polyrepo, service, module, package, and deployable-unit boundaries.",repository-intelligence-team,asset-inventory-and-classification-AC-04,E1
REQ-02-02-05,functional,asset-inventory-and-classification,02-repository-intake-runtime,P0,high,Report unclassified and inaccessible assets as explicit unknowns.,repository-intelligence-team,asset-inventory-and-classification-AC-05,E1
REQ-02-03-01,functional,reproducible-build-environment,02-repository-intake-runtime,P0,critical,"Resolve language runtimes, compilers, SDKs, system packages, build tools, private registries, and environment variables.",native-runtime-lab-team,reproducible-build-environment-AC-01,E3
REQ-02-03-02,functional,reproducible-build-environment,02-repository-intake-runtime,P0,critical,Pin exact versions and immutable images or digests before evidence is reusable.,native-runtime-lab-team,reproducible-build-environment-AC-02,E3
REQ-02-03-03,functional,reproducible-build-environment,02-repository-intake-runtime,P0,critical,"Distinguish source defects from environment, network, credential, and dependency failures.",native-runtime-lab-team,reproducible-build-environment-AC-03,E3
REQ-02-03-04,functional,reproducible-build-environment,02-repository-intake-runtime,P0,critical,"Capture commands, logs, artifacts, resource limits, and environment hashes for replay.",native-runtime-lab-team,reproducible-build-environment-AC-04,E3
REQ-02-03-05,functional,reproducible-build-environment,02-repository-intake-runtime,P0,critical,Use environment-owned authority and reject inherited thread-global privileges.,native-runtime-lab-team,reproducible-build-environment-AC-05,E3
REQ-02-04-01,functional,external-dependency-stub-and-service-virtualization,02-repository-intake-runtime,P1,high,"Inventory every external dependency, protocol, authentication method, side effect, and availability assumption.",native-runtime-lab-team,external-dependency-stub-and-service-virtualization-AC-01,E2
REQ-02-04-02,functional,external-dependency-stub-and-service-virtualization,02-repository-intake-runtime,P1,high,"Choose record-replay, contract stub, emulator, container, simulator, or real test service by risk and fidelity.",native-runtime-lab-team,external-dependency-stub-and-service-virtualization-AC-02,E2
REQ-02-04-03,functional,external-dependency-stub-and-service-virtualization,02-repository-intake-runtime,P1,high,Declare unsupported behavior and fidelity gaps.,native-runtime-lab-team,external-dependency-stub-and-service-virtualization-AC-03,E2
REQ-02-04-04,functional,external-dependency-stub-and-service-virtualization,02-repository-intake-runtime,P1,high,Prevent test doubles from being mistaken for production evidence.,native-runtime-lab-team,external-dependency-stub-and-service-virtualization-AC-04,E2
REQ-02-04-05,functional,external-dependency-stub-and-service-virtualization,02-repository-intake-runtime,P1,high,Redact sensitive captured traffic and bind fixtures to consent and retention rules.,native-runtime-lab-team,external-dependency-stub-and-service-virtualization-AC-05,E2
REQ-02-05-01,functional,support-profile-and-unknown-register,02-repository-intake-runtime,P0,critical,"Score every relevant language, framework, database, protocol, and runtime from S0 to S5.",repository-intelligence-team,support-profile-and-unknown-register-AC-01,E3
REQ-02-05-02,functional,support-profile-and-unknown-register,02-repository-intake-runtime,P0,critical,"Track analysis coverage by file, module, behavior, environment, issue domain, and evidence source.",repository-intelligence-team,support-profile-and-unknown-register-AC-02,E3
REQ-02-05-03,functional,support-profile-and-unknown-register,02-repository-intake-runtime,P0,critical,"Register UNKNOWN, UNSUPPORTED, inaccessible, ambiguous, and stale-evidence states separately.",repository-intelligence-team,support-profile-and-unknown-register-AC-03,E3
REQ-02-05-04,functional,support-profile-and-unknown-register,02-repository-intake-runtime,P0,critical,Block completion claims when critical unknowns or unsupported paths affect acceptance criteria.,repository-intelligence-team,support-profile-and-unknown-register-AC-04,E3
REQ-02-05-05,functional,support-profile-and-unknown-register,02-repository-intake-runtime,P0,critical,Publish an honest completeness statement with assumptions and blind spots.,repository-intelligence-team,support-profile-and-unknown-register-AC-05,E3
REQ-02-06-01,functional,runtime-observation-and-traffic-capture,02-repository-intake-runtime,P1,critical,"Require explicit environment, data, user, duration, and purpose authorization before capture.",runtime-observability-team,runtime-observation-and-traffic-capture-AC-01,E3
REQ-02-06-02,functional,runtime-observation-and-traffic-capture,02-repository-intake-runtime,P1,critical,"Correlate telemetry to exact build, configuration, RevisionSet, request, user role, and workflow.",runtime-observability-team,runtime-observation-and-traffic-capture-AC-02,E3
REQ-02-06-03,functional,runtime-observation-and-traffic-capture,02-repository-intake-runtime,P1,critical,Redact secrets and regulated data before model-visible processing.,runtime-observability-team,runtime-observation-and-traffic-capture-AC-03,E3
REQ-02-06-04,functional,runtime-observation-and-traffic-capture,02-repository-intake-runtime,P1,critical,"Preserve sampling, loss, clock, and instrumentation limitations.",runtime-observability-team,runtime-observation-and-traffic-capture-AC-04,E3
REQ-02-06-05,functional,runtime-observation-and-traffic-capture,02-repository-intake-runtime,P1,critical,"Generate replayable, normalized behavioral evidence without duplicating production side effects.",runtime-observability-team,runtime-observation-and-traffic-capture-AC-05,E3
REQ-03-01-01,functional,polyglot-semantic-system-graph,03-semantic-intelligence,P0,critical,Parse supported assets into lossless syntax and typed semantic representations while preserving source locations.,semantic-repository-team,polyglot-semantic-system-graph-AC-01,E3
REQ-03-01-02,functional,polyglot-semantic-system-graph,03-semantic-intelligence,P0,critical,"Resolve symbols, types, calls, control flow, data flow, exceptions, concurrency, transactions, events, and side effects.",semantic-repository-team,polyglot-semantic-system-graph-AC-02,E3
REQ-03-01-03,functional,polyglot-semantic-system-graph,03-semantic-intelligence,P0,critical,"Link code to build, runtime, database, API, infrastructure, tests, and generated artifacts.",semantic-repository-team,polyglot-semantic-system-graph-AC-03,E3
REQ-03-01-04,functional,polyglot-semantic-system-graph,03-semantic-intelligence,P0,critical,"Represent ambiguous dynamic dispatch, reflection, macros, code generation, and native boundaries as candidate edges with confidence.",semantic-repository-team,polyglot-semantic-system-graph-AC-04,E3
REQ-03-01-05,functional,polyglot-semantic-system-graph,03-semantic-intelligence,P0,critical,Support incremental rebuilds keyed by RevisionSet and analyzer versions.,semantic-repository-team,polyglot-semantic-system-graph-AC-05,E3
REQ-03-02-01,functional,business-capability-code-mapping,03-semantic-intelligence,P0,high,"Link each approved workflow step to implementing modules, endpoints, queries, events, screens, and tests.",business-semantics-team,business-capability-code-mapping-AC-01,E3
REQ-03-02-02,functional,business-capability-code-mapping,03-semantic-intelligence,P0,high,"Extract explicit and implicit rules, decision tables, state transitions, calculations, and exception policies.",business-semantics-team,business-capability-code-mapping-AC-02,E3
REQ-03-02-03,functional,business-capability-code-mapping,03-semantic-intelligence,P0,high,Record conflicting implementations and undocumented behavior.,business-semantics-team,business-capability-code-mapping-AC-03,E3
REQ-03-02-04,functional,business-capability-code-mapping,03-semantic-intelligence,P0,high,"Associate business criticality, users, data classes, and owners with technical components.",business-semantics-team,business-capability-code-mapping-AC-04,E3
REQ-03-02-05,functional,business-capability-code-mapping,03-semantic-intelligence,P0,high,Maintain traceability across revisions and transformations.,business-semantics-team,business-capability-code-mapping-AC-05,E3
REQ-03-03-01,functional,data-event-permission-lineage,03-semantic-intelligence,P0,critical,"Track sources, transformations, stores, caches, exports, logs, models, and deletion paths for sensitive and critical data.",data-security-semantics-team,data-event-permission-lineage-AC-01,E3
REQ-03-03-02,functional,data-event-permission-lineage,03-semantic-intelligence,P0,critical,"Trace events from producer through broker, retries, consumers, databases, and external effects.",data-security-semantics-team,data-event-permission-lineage-AC-02,E3
REQ-03-03-03,functional,data-event-permission-lineage,03-semantic-intelligence,P0,critical,"Trace identity, role, policy, tenant, delegation, and service-account context through each hop.",data-security-semantics-team,data-event-permission-lineage-AC-03,E3
REQ-03-03-04,functional,data-event-permission-lineage,03-semantic-intelligence,P0,critical,"Detect context loss, cross-tenant paths, authorization gaps, and untracked side effects.",data-security-semantics-team,data-event-permission-lineage-AC-04,E3
REQ-03-03-05,functional,data-event-permission-lineage,03-semantic-intelligence,P0,critical,Bind lineage edges to static and runtime evidence with confidence and retention classification.,data-security-semantics-team,data-event-permission-lineage-AC-05,E3
REQ-03-04-01,functional,git-history-ownership-change-coupling,03-semantic-intelligence,P1,medium,"Analyze co-change, churn, defect linkage, reverts, release branches, and migration sequences.",repository-intelligence-team,git-history-ownership-change-coupling-AC-01,E2
REQ-03-04-02,functional,git-history-ownership-change-coupling,03-semantic-intelligence,P1,medium,Distinguish generated mass changes from meaningful coupling.,repository-intelligence-team,git-history-ownership-change-coupling-AC-02,E2
REQ-03-04-03,functional,git-history-ownership-change-coupling,03-semantic-intelligence,P1,medium,Identify ownership concentration and orphaned critical modules without employee scoring.,repository-intelligence-team,git-history-ownership-change-coupling-AC-03,E2
REQ-03-04-04,functional,git-history-ownership-change-coupling,03-semantic-intelligence,P1,medium,Link historical incidents and decisions to current code when evidence exists.,repository-intelligence-team,git-history-ownership-change-coupling-AC-04,E2
REQ-03-04-05,functional,git-history-ownership-change-coupling,03-semantic-intelligence,P1,medium,"Respect privacy, labor, and retention policies for contributor data.",repository-intelligence-team,git-history-ownership-change-coupling-AC-05,E2
REQ-03-05-01,functional,static-dynamic-evidence-fusion,03-semantic-intelligence,P0,critical,"Represent source, method, version, scope, freshness, confidence, and limitations for every fact.",semantic-evidence-team,static-dynamic-evidence-fusion-AC-01,E3
REQ-03-05-02,functional,static-dynamic-evidence-fusion,03-semantic-intelligence,P0,critical,Prefer authoritative deterministic evidence for questions it can decide.,semantic-evidence-team,static-dynamic-evidence-fusion-AC-02,E3
REQ-03-05-03,functional,static-dynamic-evidence-fusion,03-semantic-intelligence,P0,critical,Retain contradictions and counterexamples instead of collapsing them prematurely.,semantic-evidence-team,static-dynamic-evidence-fusion-AC-03,E3
REQ-03-05-04,functional,static-dynamic-evidence-fusion,03-semantic-intelligence,P0,critical,"Invalidate facts when RevisionSet, environment, toolchain, policy, or analyzer versions change.",semantic-evidence-team,static-dynamic-evidence-fusion-AC-04,E3
REQ-03-05-05,functional,static-dynamic-evidence-fusion,03-semantic-intelligence,P0,critical,Generate proof obligations for facts that remain material but uncertain.,semantic-evidence-team,static-dynamic-evidence-fusion-AC-05,E3
REQ-04-01-01,functional,issue-ontology-and-finding-normalization,04-unified-assessment,P0,critical,"Use one ontology across business correctness, code, architecture, data, security, reliability, tests, infrastructure, AI, UX, and operations.",repository-assessment-team,issue-ontology-and-finding-normalization-AC-01,E3
REQ-04-01-02,functional,issue-ontology-and-finding-normalization,04-unified-assessment,P0,critical,"Require location, evidence, trigger condition, impact, likelihood, confidence, root cause, remediation, and verification plan.",repository-assessment-team,issue-ontology-and-finding-normalization-AC-02,E3
REQ-04-01-03,functional,issue-ontology-and-finding-normalization,04-unified-assessment,P0,critical,"Deduplicate, correlate, and cluster symptoms under evidence-supported root causes.",repository-assessment-team,issue-ontology-and-finding-normalization-AC-03,E3
REQ-04-01-04,functional,issue-ontology-and-finding-normalization,04-unified-assessment,P0,critical,"Preserve source-tool identifiers, suppressed results, waivers, and false-positive rationale.",repository-assessment-team,issue-ontology-and-finding-normalization-AC-04,E3
REQ-04-01-05,functional,issue-ontology-and-finding-normalization,04-unified-assessment,P0,critical,"Link findings to business capabilities, invariants, acceptance criteria, and affected revisions.",repository-assessment-team,issue-ontology-and-finding-normalization-AC-05,E3
REQ-04-02-01,functional,architecture-maintainability-audit,04-unified-assessment,P0,high,"Detect cyclic dependencies, layer violations, unstable boundaries, shared data coupling, distributed monoliths, and change hotspots.",architecture-assurance-team,architecture-maintainability-audit-AC-01,E3
REQ-04-02-02,functional,architecture-maintainability-audit,04-unified-assessment,P0,high,"Assess cohesion, coupling, complexity, duplication, dead code, wrong abstraction, and framework leakage.",architecture-assurance-team,architecture-maintainability-audit-AC-02,E3
REQ-04-02-03,functional,architecture-maintainability-audit,04-unified-assessment,P0,high,Compare implemented structure with documented architecture and repository rules.,architecture-assurance-team,architecture-maintainability-audit-AC-03,E3
REQ-04-02-04,functional,architecture-maintainability-audit,04-unified-assessment,P0,high,"Prioritize debt by change frequency, criticality, defect history, and transformation leverage.",architecture-assurance-team,architecture-maintainability-audit-AC-04,E3
REQ-04-02-05,functional,architecture-maintainability-audit,04-unified-assessment,P0,high,Propose executable architecture fitness functions for consequential rules.,architecture-assurance-team,architecture-maintainability-audit-AC-05,E3
REQ-04-03-01,functional,correctness-concurrency-consistency-audit,04-unified-assessment,P0,critical,"Analyze nullability, bounds, numeric precision, time, locale, error, resource, and lifecycle behavior.",software-correctness-team,correctness-concurrency-consistency-audit-AC-01,E3
REQ-04-03-02,functional,correctness-concurrency-consistency-audit,04-unified-assessment,P0,critical,"Detect races, deadlocks, atomicity violations, lost updates, unsafe publication, and cancellation leaks.",software-correctness-team,correctness-concurrency-consistency-audit-AC-02,E3
REQ-04-03-03,functional,correctness-concurrency-consistency-audit,04-unified-assessment,P0,critical,"Trace transaction, retry, timeout, idempotency, ordering, deduplication, compensation, and cache consistency.",software-correctness-team,correctness-concurrency-consistency-audit-AC-03,E3
REQ-04-03-04,functional,correctness-concurrency-consistency-audit,04-unified-assessment,P0,critical,Recover and validate business state machines and conservation invariants.,software-correctness-team,correctness-concurrency-consistency-audit-AC-04,E3
REQ-04-03-05,functional,correctness-concurrency-consistency-audit,04-unified-assessment,P0,critical,"Use tests, replay, fuzzing, symbolic reasoning, or formal methods according to risk.",software-correctness-team,correctness-concurrency-consistency-audit-AC-05,E3
REQ-04-04-01,functional,security-privacy-supply-chain-audit,04-unified-assessment,P0,critical,"Model assets, actors, trust boundaries, entry points, data classes, abuse cases, and side effects.",product-security-team,security-privacy-supply-chain-audit-AC-01,E3
REQ-04-04-02,functional,security-privacy-supply-chain-audit,04-unified-assessment,P0,critical,"Trace authentication, authorization, service identity, tenant context, and privileged paths end to end.",product-security-team,security-privacy-supply-chain-audit-AC-02,E3
REQ-04-04-03,functional,security-privacy-supply-chain-audit,04-unified-assessment,P0,critical,"Detect common application, API, agent, dependency, artifact, CI/CD, container, cloud, and IaC risks.",product-security-team,security-privacy-supply-chain-audit-AC-03,E3
REQ-04-04-04,functional,security-privacy-supply-chain-audit,04-unified-assessment,P0,critical,"Generate SBOM, dependency delta, license delta, and provenance obligations where tooling exists.",product-security-team,security-privacy-supply-chain-audit-AC-04,E3
REQ-04-04-05,functional,security-privacy-supply-chain-audit,04-unified-assessment,P0,critical,"Separate product controls, deployment controls, organizational controls, and customer responsibilities.",product-security-team,security-privacy-supply-chain-audit-AC-05,E3
REQ-04-05-01,functional,data-database-migration-audit,04-unified-assessment,P0,critical,"Recover logical and physical schemas, constraints, indexes, routines, triggers, views, permissions, and ownership.",data-platform-assurance-team,data-database-migration-audit-AC-01,E3
REQ-04-05-02,functional,data-database-migration-audit,04-unified-assessment,P0,critical,"Analyze query plans, N+1 patterns, transaction boundaries, locking, pagination, and data-access anti-patterns.",data-platform-assurance-team,data-database-migration-audit-AC-02,E3
REQ-04-05-03,functional,data-database-migration-audit,04-unified-assessment,P0,critical,"Detect data-quality, retention, deletion, PII, lineage, and reconciliation gaps.",data-platform-assurance-team,data-database-migration-audit-AC-03,E3
REQ-04-05-04,functional,data-database-migration-audit,04-unified-assessment,P0,critical,"Assess expand-migrate-contract, CDC, backfill, dual-write, rollback, and cutover hazards.",data-platform-assurance-team,data-database-migration-audit-AC-04,E3
REQ-04-05-05,functional,data-database-migration-audit,04-unified-assessment,P0,critical,Compare dialect and routine semantics rather than syntax alone.,data-platform-assurance-team,data-database-migration-audit-AC-05,E3
REQ-04-06-01,functional,performance-reliability-observability-audit,04-unified-assessment,P0,critical,"Assess algorithmic complexity, CPU, memory, GC, I/O, locks, connections, queues, caches, batching, and backpressure.",performance-sre-assurance-team,performance-reliability-observability-audit-AC-01,E3
REQ-04-06-02,functional,performance-reliability-observability-audit,04-unified-assessment,P0,critical,"Evaluate timeout, retry, circuit breaker, bulkhead, failover, backup, restore, disaster recovery, and graceful degradation.",performance-sre-assurance-team,performance-reliability-observability-audit-AC-02,E3
REQ-04-06-03,functional,performance-reliability-observability-audit,04-unified-assessment,P0,critical,"Map service-level indicators, objectives, error budgets, dashboards, alerts, traces, logs, metrics, and profiles.",performance-sre-assurance-team,performance-reliability-observability-audit-AC-03,E3
REQ-04-06-04,functional,performance-reliability-observability-audit,04-unified-assessment,P0,critical,"Use representative workload models and preserve hardware, dataset, configuration, and sampling identity.",performance-sre-assurance-team,performance-reliability-observability-audit-AC-04,E3
REQ-04-06-05,functional,performance-reliability-observability-audit,04-unified-assessment,P0,critical,Estimate cost and capacity impact of remediation options.,performance-sre-assurance-team,performance-reliability-observability-audit-AC-05,E3
REQ-04-07-01,functional,test-ci-cd-developer-experience-audit,04-unified-assessment,P1,high,"Map business-critical behaviors to unit, integration, contract, end-to-end, property, mutation, performance, and security tests.",quality-engineering-team,test-ci-cd-developer-experience-audit-AC-01,E3
REQ-04-07-02,functional,test-ci-cd-developer-experience-audit,04-unified-assessment,P1,high,"Detect weak assertions, overmocking, shared-state pollution, non-determinism, flaky timing, and unrealistic fixtures.",quality-engineering-team,test-ci-cd-developer-experience-audit-AC-02,E3
REQ-04-07-03,functional,test-ci-cd-developer-experience-audit,04-unified-assessment,P1,high,"Assess build graph efficiency, caching, parallelism, hermeticity, artifact promotion, branch protection, and rollback readiness.",quality-engineering-team,test-ci-cd-developer-experience-audit-AC-03,E3
REQ-04-07-04,functional,test-ci-cd-developer-experience-audit,04-unified-assessment,P1,high,Track developer feedback latency and repeated failure causes.,quality-engineering-team,test-ci-cd-developer-experience-audit-AC-04,E3
REQ-04-07-05,functional,test-ci-cd-developer-experience-audit,04-unified-assessment,P1,high,Recommend hard enforcement for deterministic rules and review guidance for judgment-based rules.,quality-engineering-team,test-ci-cd-developer-experience-audit-AC-05,E3
REQ-04-08-01,functional,ux-accessibility-i18n-audit,04-unified-assessment,P2,medium,"Trace critical user journeys across routes, states, forms, errors, permissions, network failures, and recovery.",product-experience-assurance-team,ux-accessibility-i18n-audit-AC-01,E2
REQ-04-08-02,functional,ux-accessibility-i18n-audit,04-unified-assessment,P2,medium,"Assess keyboard, screen-reader, contrast, semantics, focus, motion, and accessible error handling using automated and manual evidence.",product-experience-assurance-team,ux-accessibility-i18n-audit-AC-02,E2
REQ-04-08-03,functional,ux-accessibility-i18n-audit,04-unified-assessment,P2,medium,"Detect hard-coded locale, timezone, currency, encoding, pluralization, and bidirectional-text assumptions.",product-experience-assurance-team,ux-accessibility-i18n-audit-AC-03,E2
REQ-04-08-04,functional,ux-accessibility-i18n-audit,04-unified-assessment,P2,medium,"Measure bundle, rendering, data-fetch, hydration, memory, and interaction performance.",product-experience-assurance-team,ux-accessibility-i18n-audit-AC-04,E2
REQ-04-08-05,functional,ux-accessibility-i18n-audit,04-unified-assessment,P2,medium,Link experience findings to adoption and business outcomes.,product-experience-assurance-team,ux-accessibility-i18n-audit-AC-05,E2
REQ-04-09-01,functional,ai-agent-system-audit,04-unified-assessment,P1,critical,"Inventory models, prompts, policies, retrieval, memory, tools, agents, workflows, datasets, and evaluators with versions.",ai-systems-assurance-team,ai-agent-system-audit-AC-01,E3
REQ-04-09-02,functional,ai-agent-system-audit,04-unified-assessment,P1,critical,"Test task success, grounding, citation, tool choice, recovery, latency, cost, and human intervention.",ai-systems-assurance-team,ai-agent-system-audit-AC-02,E3
REQ-04-09-03,functional,ai-agent-system-audit,04-unified-assessment,P1,critical,"Assess prompt injection, indirect injection, tool escalation, data exfiltration, memory poisoning, and tenant leakage.",ai-systems-assurance-team,ai-agent-system-audit-AC-03,E3
REQ-04-09-04,functional,ai-agent-system-audit,04-unified-assessment,P1,critical,"Detect evaluator leakage, weak or circular judges, missing holdouts, and non-reproducible model changes.",ai-systems-assurance-team,ai-agent-system-audit-AC-04,E3
REQ-04-09-05,functional,ai-agent-system-audit,04-unified-assessment,P1,critical,Require independent evidence and explicit model/provider/version pins for reusable results.,ai-systems-assurance-team,ai-agent-system-audit-AC-05,E3
REQ-04-10-01,functional,cost-finops-sustainability-audit,04-unified-assessment,P2,medium,"Attribute cost to tenant, engagement, repository, workflow, step, model, tool, environment, and artifact.",finops-platform-team,cost-finops-sustainability-audit-AC-01,E2
REQ-04-10-02,functional,cost-finops-sustainability-audit,04-unified-assessment,P2,medium,"Separate model, compute, storage, network, license, and human-review costs.",finops-platform-team,cost-finops-sustainability-audit-AC-02,E2
REQ-04-10-03,functional,cost-finops-sustainability-audit,04-unified-assessment,P2,medium,"Detect retry waste, duplicate analysis, poor cache reuse, idle workers, oversized resources, and expensive low-value evidence.",finops-platform-team,cost-finops-sustainability-audit-AC-03,E2
