batch,batch_slug,batch_title,phase,name,description,path
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,modernization-option-comparator,比较保留、升级、重新平台化、重构、重写、包装和退役等现代化路径。,batches/batch-02-modernization-assessment/skills/modernization-option-comparator/SKILL.md
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,representative-slice-pilot,自动选择代表性语义切片执行试转换，以校准正确率、修复轮数、成本和风险。,batches/batch-02-modernization-assessment/skills/representative-slice-pilot/SKILL.md
2,modernization-assessment,应用现代化自动评估,A 市场、评估与转换决策,assessment-report-generator,输出管理层摘要、技术评估、风险登记、路线图和可审计证据索引。,batches/batch-02-modernization-assessment/skills/assessment-report-generator/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,conversion-feasibility-estimator,判断整体转换、局部迁移、兼容层、重新设计或保持源实现的可行性。,batches/batch-03-feasibility-estimation/skills/conversion-feasibility-estimator/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,conversion-success-range-estimator,估算自动覆盖率、首轮构建率、功能等价率、行为等价率和生产就绪概率区间。,batches/batch-03-feasibility-estimation/skills/conversion-success-range-estimator/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,estimate-confidence-calibrator,依据样本量、同类历史、未知项和试点结果校准预测置信度，避免虚假精确。,batches/batch-03-feasibility-estimation/skills/estimate-confidence-calibrator/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,conversion-duration-estimator,分解估算扫描、建模、生成、构建、测试、差分、修复、性能和人工审核耗时。,batches/batch-03-feasibility-estimation/skills/conversion-duration-estimator/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,conversion-cost-estimator,估算模型、计算、工具链、测试环境、人工、私有部署和持续维护成本。,batches/batch-03-feasibility-estimation/skills/conversion-cost-estimator/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,iteration-count-planner,根据风险和预期失败类型规划转换、构建修复、差分修复和升级模型的轮次。,batches/batch-03-feasibility-estimation/skills/iteration-count-planner/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,manual-effort-estimator,估算需要人工处理的比例、工作量、技能组合和关键审批点。,batches/batch-03-feasibility-estimation/skills/manual-effort-estimator/SKILL.md
3,feasibility-estimation,转换可行性、正确率和耗时预测,A 市场、评估与转换决策,conversion-risk-register,维护语义、依赖、数据、并发、性能、平台、合规和交付风险及其缓解措施。,batches/batch-03-feasibility-estimation/skills/conversion-risk-register/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,target-language-suitability-analysis,分析目标语言在性能、并发、安全、生态、人才、维护、部署和迁移风险方面的适配度。,batches/batch-04-target-recommendation/skills/target-language-suitability-analysis/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,target-framework-selector,基于业务形态、非功能需求、团队能力和生态成熟度选择目标框架。,batches/batch-04-target-recommendation/skills/target-framework-selector/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,target-platform-benefit-analysis,判断跨 Web、移动端、ArkUI、小程序或桌面平台迁移能否带来真实业务收益。,batches/batch-04-target-recommendation/skills/target-platform-benefit-analysis/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,migration-alternative-generator,生成整体转换、局部转换、双端保留、服务化、兼容层和重新设计等替代方案。,batches/batch-04-target-recommendation/skills/migration-alternative-generator/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,architecture-migration-strategy,选择 Strangler、Rewrite、Wrap、Retain、Replatform、模块重建或服务拆分策略。,batches/batch-04-target-recommendation/skills/architecture-migration-strategy/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,do-not-convert-advisor,当收益低于风险、目标不适合或缺乏等价能力时，明确给出不转换或先治理建议。,batches/batch-04-target-recommendation/skills/do-not-convert-advisor/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,team-capability-fit-analysis,评估团队对目标语言、框架、工具链、运维和长期维护的能力匹配与培训成本。,batches/batch-04-target-recommendation/skills/team-capability-fit-analysis/SKILL.md
4,target-recommendation,目标语言与目标架构建议,A 市场、评估与转换决策,migration-business-case,汇总成本、收益、风险、TCO、机会成本和退出能力，形成可决策的商业论证。,batches/batch-04-target-recommendation/skills/migration-business-case/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,repository-inventory-scanner,盘点源码、模块、资源、配置、脚本、生成代码、数据库对象、测试和部署资产。,batches/batch-05-repository-semantic-recovery/skills/repository-inventory-scanner/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,build-system-detector,识别单仓或多仓构建系统、模块关系、版本约束、插件和构建入口。,batches/batch-05-repository-semantic-recovery/skills/build-system-detector/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,dependency-and-plugin-discovery,解析直接与传递依赖、插件、许可证、原生扩展和运行时加载依赖。,batches/batch-05-repository-semantic-recovery/skills/dependency-and-plugin-discovery/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,symbol-and-type-indexer,建立跨文件符号、类型、引用、泛型实例化和源码位置索引。,batches/batch-05-repository-semantic-recovery/skills/symbol-and-type-indexer/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,call-graph-builder,构建静态与动态融合的调用图，并标记反射、RPC、消息和插件边。,batches/batch-05-repository-semantic-recovery/skills/call-graph-builder/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,data-flow-graph-builder,构建跨函数和跨模块数据流、污点流和关键业务数据传播图。,batches/batch-05-repository-semantic-recovery/skills/data-flow-graph-builder/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,effect-and-side-effect-discovery,发现数据库、缓存、文件、消息、网络、时间、随机数和外部调用副作用。,batches/batch-05-repository-semantic-recovery/skills/effect-and-side-effect-discovery/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,database-access-discovery,识别 ORM、原生 SQL、存储过程、事务、锁、迁移和数据库对象依赖。,batches/batch-05-repository-semantic-recovery/skills/database-access-discovery/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,external-service-discovery,识别 HTTP、RPC、消息、SDK、设备和云服务集成及其契约。,batches/batch-05-repository-semantic-recovery/skills/external-service-discovery/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,runtime-trace-fusion,将生产或测试 Trace 与静态图融合，恢复真实路径、动态类型、调用频率和反射行为。,batches/batch-05-repository-semantic-recovery/skills/runtime-trace-fusion/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,semantic-slice-extractor,围绕入口、业务能力或风险点提取最小可转换和可验证语义切片。,batches/batch-05-repository-semantic-recovery/skills/semantic-slice-extractor/SKILL.md
5,repository-semantic-recovery,仓库发现与语义资产恢复,B 源码理解与可信执行底座,business-rule-extractor,从代码、测试、文档、数据约束和 Trace 中提取业务规则、不变量和例外。,batches/batch-05-repository-semantic-recovery/skills/business-rule-extractor/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,toolchain-manifest-detector,从仓库和锁文件推断语言、版本、框架、构建系统、平台和工具链需求。,batches/batch-06-toolchain-registry/skills/toolchain-manifest-detector/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,compiler-version-resolver,解析源与目标编译器版本，并处理兼容范围、废弃特性和交叉编译约束。,batches/batch-06-toolchain-registry/skills/compiler-version-resolver/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,runtime-version-resolver,选择与项目和目标部署一致的 Runtime、解释器、虚拟机和系统库版本。,batches/batch-06-toolchain-registry/skills/runtime-version-resolver/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,package-manager-adapter,统一 Maven、Gradle、NuGet、npm、pnpm、Cargo、pip、Go Modules 等包管理操作。,batches/batch-06-toolchain-registry/skills/package-manager-adapter/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,build-command-generator,根据仓库结构和工具链生成可复现的解析、构建、打包和产物定位命令。,batches/batch-06-toolchain-registry/skills/build-command-generator/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,test-runner-adapter,统一发现、选择、执行和解析不同语言及框架测试运行器。,batches/batch-06-toolchain-registry/skills/test-runner-adapter/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,compiler-diagnostic-normalizer,将编译、链接、类型、Lint 和构建诊断规范化为结构化问题。,batches/batch-06-toolchain-registry/skills/compiler-diagnostic-normalizer/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,runtime-environment-provisioner,按任务创建 Linux、Windows、macOS、浏览器、移动端或证明环境。,batches/batch-06-toolchain-registry/skills/runtime-environment-provisioner/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,toolchain-reproducibility-certificate,记录镜像摘要、工具版本、依赖锁、环境摘要和命令，签发可复现证据。,batches/batch-06-toolchain-registry/skills/toolchain-reproducibility-certificate/SKILL.md
6,toolchain-registry,编译器、Runtime与工具链注册中心,B 源码理解与可信执行底座,platform-worker-router,将任务路由到 OCI、VM、macOS、设备、数据库、浏览器或 Proof Worker。,batches/batch-06-toolchain-registry/skills/platform-worker-router/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,untrusted-code-sandbox,在强隔离、非 root、受限系统调用和可销毁环境中执行不可信代码。,batches/batch-07-sandbox-security-reproducibility/skills/untrusted-code-sandbox/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,network-egress-policy,默认禁止外网，按域名、协议、时间和任务最小化开放依赖获取与测试出口。,batches/batch-07-sandbox-security-reproducibility/skills/network-egress-policy/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,resource-quota-governor,限制 CPU、内存、磁盘、进程、文件句柄、GPU、网络和执行时长。,batches/batch-07-sandbox-security-reproducibility/skills/resource-quota-governor/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,secret-scope-manager,按任务注入最小必要凭证，阻止跨项目、跨租户和跨阶段访问。,batches/batch-07-sandbox-security-reproducibility/skills/secret-scope-manager/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,ephemeral-workspace-manager,创建内容寻址、隔离、可快照和任务结束后可销毁的工作空间。,batches/batch-07-sandbox-security-reproducibility/skills/ephemeral-workspace-manager/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,dependency-proxy-and-cache,通过受控代理、镜像和缓存获取依赖，并记录来源、摘要和许可证。,batches/batch-07-sandbox-security-reproducibility/skills/dependency-proxy-and-cache/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,artifact-signing-and-provenance,为源码、规则、模型输出、构建产物和证据生成签名与来源链。,batches/batch-07-sandbox-security-reproducibility/skills/artifact-signing-and-provenance/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,reproducible-build-validator,在独立环境重复构建并比较产物、元数据和非确定性来源。,batches/batch-07-sandbox-security-reproducibility/skills/reproducible-build-validator/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,malicious-build-script-detector,检测危险安装脚本、宿主访问、凭证读取、持久化、挖矿和供应链行为。,batches/batch-07-sandbox-security-reproducibility/skills/malicious-build-script-detector/SKILL.md
7,sandbox-security-reproducibility,沙箱、安全与可复现执行,B 源码理解与可信执行底座,execution-audit-recorder,记录工具调用、命令、文件变化、网络、资源、凭证作用域和决策审计。,batches/batch-07-sandbox-security-reproducibility/skills/execution-audit-recorder/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,canonical-primitive-types,定义位宽、符号、编码、布尔、字节、字符串和基础值类型的统一语义。,batches/batch-08-canonical-type-system/skills/canonical-primitive-types/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,numeric-semantics-model,建模整数溢出、浮点、NaN、Infinity、负零、除法和取模差异。,batches/batch-08-canonical-type-system/skills/numeric-semantics-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,decimal-and-rounding-model,建模精度、Scale、舍入模式、溢出和货币语义。,batches/batch-08-canonical-type-system/skills/decimal-and-rounding-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,null-missing-undefined-model,严格区分 Null、Missing、Undefined、Empty、Zero value 和未初始化。,batches/batch-08-canonical-type-system/skills/null-missing-undefined-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,option-result-union-model,统一 Option、Result、Union、错误分支和封闭代数数据类型。,batches/batch-08-canonical-type-system/skills/option-result-union-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,generic-and-variance-model,建模泛型约束、擦除、实例化、协变、逆变和高阶类型差异。,batches/batch-08-canonical-type-system/skills/generic-and-variance-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,collection-semantics-model,建模顺序、唯一性、相等、哈希、可变性、惰性与并发集合语义。,batches/batch-08-canonical-type-system/skills/collection-semantics-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,datetime-timezone-model,建模 Instant、Local time、Offset、时区、精度、闰秒和夏令时。,batches/batch-08-canonical-type-system/skills/datetime-timezone-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,serialization-type-model,统一 JSON、Protobuf、数据库、消息和配置的可观察序列化表示。,batches/batch-08-canonical-type-system/skills/serialization-type-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,refinement-type-contracts,为范围、非空、唯一、排序、守恒和权限等性质生成精化类型契约。,batches/batch-08-canonical-type-system/skills/refinement-type-contracts/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,ownership-and-lifetime-model,统一所有权、借用、别名、可变性、资源生命周期和线程安全语义。,batches/batch-08-canonical-type-system/skills/ownership-and-lifetime-model/SKILL.md
8,canonical-type-system,Canonical Type System,C 精密语义表示,gradual-type-recovery,结合静态分析、运行 Trace、Schema 和测试恢复动态语言真实类型与对象形状。,batches/batch-08-canonical-type-system/skills/gradual-type-recovery/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,effect-system,定义 Read、Write、Call、Publish、Throw、Spawn、Await、Clock、Random 等统一 Effect。,batches/batch-09-effect-state-observation/skills/effect-system/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,database-effect-model,表达表读写、事务、锁、隔离级别、触发器和过程代码数据库 Effect。,batches/batch-09-effect-state-observation/skills/database-effect-model/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,message-effect-model,表达 Topic、Key、顺序、投递、重试、ACK、DLQ 和逻辑 Exactly-once Effect。,batches/batch-09-effect-state-observation/skills/message-effect-model/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,external-call-effect-model,表达外部调用参数、次数、顺序、超时、重试、幂等和不可逆副作用。,batches/batch-09-effect-state-observation/skills/external-call-effect-model/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,resource-lifecycle-model,表达文件、连接、锁、内存、线程、任务和设备资源的获取、使用与释放。,batches/batch-09-effect-state-observation/skills/resource-lifecycle-model/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,transaction-effect-model,表达事务传播、保存点、提交、回滚、补偿和部分可见性。,batches/batch-09-effect-state-observation/skills/transaction-effect-model/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,async-cancellation-model,表达异步任务、取消传播、Latest-wins、超时、悬挂任务和完成顺序。,batches/batch-09-effect-state-observation/skills/async-cancellation-model/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,business-state-machine-ir,提取和表达订单、支付、库存、权限等业务状态与合法转换。,batches/batch-09-effect-state-observation/skills/business-state-machine-ir/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,ui-state-machine-ir,表达 Loading、Success、Failure、Refresh、Submitting 等 UI 状态与事件转换。,batches/batch-09-effect-state-observation/skills/ui-state-machine-ir/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,protocol-and-workflow-ir,表达重试、Saga、Outbox、审批、消息交互和长流程协议。,batches/batch-09-effect-state-observation/skills/protocol-and-workflow-ir/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,observable-behavior-ir,统一返回值、异常、HTTP、状态变更、消息、Trace、UI、导航和性能观察。,batches/batch-09-effect-state-observation/skills/observable-behavior-ir/SKILL.md
9,effect-state-observation,Effect、State与Observation系统,C 精密语义表示,semantic-loss-ledger,逐模块记录无损、归一化、近似、需适配、未验证和不支持的语义损失。,batches/batch-09-effect-state-observation/skills/semantic-loss-ledger/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,backend-application-ir,定义应用、模块、端口、服务、命令、查询、实体和部署边界。,batches/batch-10-backend-frontend-semantic-ir/skills/backend-application-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,controller-endpoint-ir,统一路由、参数、校验、鉴权、响应、错误、流式接口和协议契约。,batches/batch-10-backend-frontend-semantic-ir/skills/controller-endpoint-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,domain-and-service-ir,表达领域规则、应用服务、领域服务、工作流、不变量和用例边界。,batches/batch-10-backend-frontend-semantic-ir/skills/domain-and-service-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,repository-and-orm-ir,表达实体、映射、查询、Tracking、Lazy load、事务、并发控制和迁移。,batches/batch-10-backend-frontend-semantic-ir/skills/repository-and-orm-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,dependency-injection-ir,表达生命周期、Scope、绑定、工厂、拦截器、代理和条件注册。,batches/batch-10-backend-frontend-semantic-ir/skills/dependency-injection-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,message-consumer-ir,表达消费者、订阅、批量、顺序、重试、幂等、ACK 和死信行为。,batches/batch-10-backend-frontend-semantic-ir/skills/message-consumer-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,scheduled-job-ir,表达调度、并发策略、补偿、重跑、锁和失败恢复。,batches/batch-10-backend-frontend-semantic-ir/skills/scheduled-job-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,frontend-component-ir,表达组件输入、输出、状态、派生状态、子内容、事件和渲染语义。,batches/batch-10-backend-frontend-semantic-ir/skills/frontend-component-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,ui-layout-constraint-ir,表达约束布局、Flex/Grid、尺寸、间距、滚动、响应式和主题。,batches/batch-10-backend-frontend-semantic-ir/skills/ui-layout-constraint-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,event-and-lifecycle-ir,表达挂载、更新、销毁、Effect、订阅、焦点、键盘和前后台生命周期。,batches/batch-10-backend-frontend-semantic-ir/skills/event-and-lifecycle-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,route-navigation-ir,表达路由、参数、守卫、返回栈、深链接、Tab、恢复和导航结果。,batches/batch-10-backend-frontend-semantic-ir/skills/route-navigation-ir/SKILL.md
10,backend-frontend-semantic-ir,Backend与Frontend Semantic IR,C 精密语义表示,platform-capability-ir,表达支付、分享、通知、相机、定位、蓝牙、文件、设备和权限能力。,batches/batch-10-backend-frontend-semantic-ir/skills/platform-capability-ir/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,natural-language-transformation-definition,将目标、范围、前置条件、例外、禁止项和验收要求结构化为转换定义。,batches/batch-11-transformation-skill-recipe/skills/natural-language-transformation-definition/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,transformation-skill-compiler,把 Transformation Skill 编译为规则、查询、生成器、验证器和证据要求。,batches/batch-11-transformation-skill-recipe/skills/transformation-skill-compiler/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,reference-knowledge-loader,加载文档、API、版本说明、组织规范和历史迁移知识，并保持来源可追踪。,batches/batch-11-transformation-skill-recipe/skills/reference-knowledge-loader/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,code-example-rule-induction,从正反代码样例、失败案例和人工修复中归纳候选规则及适用条件。,batches/batch-11-transformation-skill-recipe/skills/code-example-rule-induction/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,declarative-recipe-dsl,定义模式匹配、类型条件、重写、证明义务、测试和版本兼容的声明式 DSL。,batches/batch-11-transformation-skill-recipe/skills/declarative-recipe-dsl/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,imperative-recipe-runtime,运行需要全局分析、多文件状态或复杂生成逻辑的命令式 Recipe。,batches/batch-11-transformation-skill-recipe/skills/imperative-recipe-runtime/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,recipe-precondition-engine,在执行重写前验证类型、框架、版本、控制流和语义前置条件。,batches/batch-11-transformation-skill-recipe/skills/recipe-precondition-engine/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,scanning-recipe-engine,先扫描全仓库收集状态，再执行跨文件和跨模块变换。,batches/batch-11-transformation-skill-recipe/skills/scanning-recipe-engine/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,multi-cycle-transformation-engine,支持扫描、变换、构建反馈、再扫描和多轮收敛。,batches/batch-11-transformation-skill-recipe/skills/multi-cycle-transformation-engine/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,recipe-composition-and-ordering,解决规则依赖、顺序、冲突、幂等和可交换性。,batches/batch-11-transformation-skill-recipe/skills/recipe-composition-and-ordering/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,recipe-versioning,管理规则语义版本、适用矩阵、迁移升级和回归兼容。,batches/batch-11-transformation-skill-recipe/skills/recipe-versioning/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,transformation-registry,登记、发现、签名、授权、发布和撤回转换技能与方向包。,batches/batch-11-transformation-skill-recipe/skills/transformation-registry/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,managed-transformation-pack,封装平台维护、经过验证、可规模复用的托管转换包。,batches/batch-11-transformation-skill-recipe/skills/managed-transformation-pack/SKILL.md
11,transformation-skill-recipe,Transformation Skill与Recipe体系,D 转换定义与规则引擎,organization-private-transformation-pack,封装客户私有框架、内部 API、命名规范和受限知识的专属转换包。,batches/batch-11-transformation-skill-recipe/skills/organization-private-transformation-pack/SKILL.md
12,lossless-semantic-transformation,Lossless Semantic Transformation,D 转换定义与规则引擎,lossless-source-tree,构建保留空白、注释、顺序、源位置和语法细节的无损源码树。,batches/batch-12-lossless-semantic-transformation/skills/lossless-source-tree/SKILL.md
12,lossless-semantic-transformation,Lossless Semantic Transformation,D 转换定义与规则引擎,type-attributed-tree,为无损源码树附加符号、类型、调用和语义归因。,batches/batch-12-lossless-semantic-transformation/skills/type-attributed-tree/SKILL.md
12,lossless-semantic-transformation,Lossless Semantic Transformation,D 转换定义与规则引擎,comment-and-format-preservation,在转换中保留注释、文档、格式和组织约定，避免无关 Diff。,batches/batch-12-lossless-semantic-transformation/skills/comment-and-format-preservation/SKILL.md
12,lossless-semantic-transformation,Lossless Semantic Transformation,D 转换定义与规则引擎,symbol-safe-renaming,在作用域、重载、反射、配置和序列化约束下安全重命名符号。,batches/batch-12-lossless-semantic-transformation/skills/symbol-safe-renaming/SKILL.md
