id,batch,name,summary,path,depends_on
PG197,63,traceability-completeness-eval,"Evaluates end-to-end lineage from source requirements through code, tests, evidence, releases, and change history.",skills/batch-63/PG197-traceability-completeness-eval.md,PG042 PG076 PG158 PG169
PG198,63,regeneration-safety-eval,"Evaluates idempotency, incremental scope, manual-edit preservation, merge behavior, and regression safety.",skills/batch-63/PG198-regeneration-safety-eval.md,PG173 PG174 PG180 PG191
PG199,63,cross-language-parity-eval,"Compares Java, Python, and .NET implementations of the same approved specification.",skills/batch-63/PG199-cross-language-parity-eval.md,PG077 PG089 PG101 PG191
PG200,63,large-project-scalability-eval,"Evaluates performance and reliability of synthesis on large repositories, specifications, graphs, and change sets.",skills/batch-63/PG200-large-project-scalability-eval.md,PG181 PG187 PG191
PG201,63,failure-recovery-chaos-eval,"Evaluates recovery from model, tool, runner, network, registry, storage, broker, and approval interruptions.",skills/batch-63/PG201-failure-recovery-chaos-eval.md,PG149 PG150 PG181 PG191
PG202,63,project-synthesis-product-certification,Combines benchmark and policy evidence into a versioned product certification decision.,skills/batch-63/PG202-project-synthesis-product-certification.md,PG192 PG193 PG194 PG195 PG196 PG197 PG198 PG199 PG200 PG201
PG203,64,saas-admin-domain-pack,"Provides reusable multi-tenant SaaS administration concepts, workflows, permissions, integrations, and tests.",skills/batch-64/PG203-saas-admin-domain-pack.md,PG051 PG188 PG202
PG204,64,ecommerce-order-domain-pack,"Provides catalog, cart, order, payment orchestration, fulfillment, return, and refund domain models.",skills/batch-64/PG204-ecommerce-order-domain-pack.md,PG122 PG188 PG202
PG205,64,warehouse-logistics-domain-pack,"Provides inventory, location, receiving, picking, packing, shipment, task, and optimization domain concepts.",skills/batch-64/PG205-warehouse-logistics-domain-pack.md,PG117 PG188 PG202
PG206,64,manufacturing-mes-iot-domain-pack,"Provides plant, equipment, work order, operation, quality, maintenance, telemetry, and traceability models.",skills/batch-64/PG206-manufacturing-mes-iot-domain-pack.md,PG117 PG188 PG202
PG207,64,energy-ems-vpp-domain-pack,"Provides assets, meters, forecasts, dispatch, constraints, tariffs, markets, settlement, and flexibility models.",skills/batch-64/PG207-energy-ems-vpp-domain-pack.md,PG117 PG188 PG202
PG208,64,healthcare-clinical-admin-domain-pack,"Provides patient administration, scheduling, encounter, order, result, consent, billing, and audit models.",skills/batch-64/PG208-healthcare-clinical-admin-domain-pack.md,PG119 PG188 PG202
PG209,64,digital-twin-domain-pack,"Provides physical assets, twin models, telemetry, state estimation, simulation, commands, scenarios, and calibration concepts.",skills/batch-64/PG209-digital-twin-domain-pack.md,PG117 PG188 PG202
PG210,64,ai-agent-rag-domain-pack,"Provides knowledge source, ingestion, retrieval, prompt, tool, agent, memory, evaluation, and safety domain models.",skills/batch-64/PG210-ai-agent-rag-domain-pack.md,PG092 PG188 PG202
PG211,64,data-platform-analytics-domain-pack,"Provides source, pipeline, dataset, schema, quality, lineage, metric, dashboard, and access-control models.",skills/batch-64/PG211-data-platform-analytics-domain-pack.md,PG039 PG188 PG202
PG212,64,workflow-approval-domain-pack,"Provides configurable forms, cases, tasks, states, rules, approvals, escalations, SLAs, and audit models.",skills/batch-64/PG212-workflow-approval-domain-pack.md,PG038 PG179 PG188 PG202
PG213,65,requirement-studio-ui,"Provides the interactive workspace for natural-language discovery, source review, requirements, assumptions, conflicts, scope, and baselines.",skills/batch-65/PG213-requirement-studio-ui.md,PG011 PG031 PG179
PG214,65,architecture-review-ui,"Provides interactive architecture diagrams, ADRs, tradeoffs, risks, threats, deployment, and approval views.",skills/batch-65/PG214-architecture-review-ui.md,PG054 PG179
PG215,65,project-preview-and-diff-ui,"Provides repository tree, generated-file preview, ownership, symbol trace, semantic diff, and regeneration review.",skills/batch-65/PG215-project-preview-and-diff-ui.md,PG173 PG174 PG175
PG216,65,build-run-console-ui,"Provides live and historical build, test, startup, smoke, repair, and environment evidence views.",skills/batch-65/PG216-build-run-console-ui.md,PG147 PG158 PG181
PG217,65,artifact-evidence-explorer,"Provides searchable lineage and evidence navigation across requirements, code, tests, builds, security, deployments, and releases.",skills/batch-65/PG217-artifact-evidence-explorer.md,PG004 PG007 PG197
PG218,65,collaborative-comment-approval,"Provides reusable comments, mentions, assignments, decisions, approvals, exceptions, and notification workflows.",skills/batch-65/PG218-collaborative-comment-approval.md,PG179 PG213 PG214 PG215
PG219,65,tenant-policy-and-quota,"Provides tenant administration for policy, capabilities, models, registries, runners, budgets, retention, and quotas.",skills/batch-65/PG219-tenant-policy-and-quota.md,PG008 PG186
PG220,65,generation-usage-metering,"Meters model, tool, runner, storage, network, artifact, and support usage by tenant, project, run, and feature.",skills/batch-65/PG220-generation-usage-metering.md,PG186 PG219
PG221,65,support-diagnostic-bundle,Creates privacy-safe diagnostic packages for failed or degraded synthesis runs.,skills/batch-65/PG221-support-diagnostic-bundle.md,PG007 PG009 PG158 PG216
PG222,65,feedback-to-skill-learning-loop,"Converts user feedback, defects, review findings, support cases, and evaluation failures into governed Skill improvements.",skills/batch-65/PG222-feedback-to-skill-learning-loop.md,PG189 PG190 PG202 PG220 PG221
